year_week,category_en,orders_count,weekly_revenue,avg_order_value,cancellations,rolling_mean,rolling_std,rolling_median,upper_bound,lower_bound,z_score,is_anomaly,revenue_at_risk,severity,expected_revenue,actual_revenue,revenue_gap,revenue_gap_pct
2018-W21,health_beauty,90,13780.42,133.79,3,29798.13,7548.14,28621.5,44894.41,14701.84,-2.12,True,921.42,Medium,29798.13,13780.42,16017.71,53.8
2018-W35,health_beauty,14,1570.04,104.67,0,36390.22,8275.87,36941.79,52941.95,19838.48,-4.21,True,18268.44,Critical,36390.22,1570.04,34820.18,95.7
2017-W45,home_appliances_2,1,75.16,75.16,0,769.09,318.41,738.4,1405.91,132.28,-2.18,True,57.12,Medium,769.09,75.16,693.93,90.2
2018-W21,home_appliances_2,2,307.63,153.81,0,4573.81,1358.06,4553.08,7289.93,1857.7,-3.14,True,1550.07,Critical,4573.81,307.63,4266.18,93.3
2017-W34,housewares,47,4634.3,89.12,0,8609.3,1431.98,8219.28,11473.27,5745.34,-2.78,True,1111.04,High,8609.3,4634.3,3975.0,46.2
2018-W35,housewares,17,2249.65,97.81,0,24384.09,9161.69,25704.36,42707.48,6060.71,-2.42,True,3811.06,Medium,24384.09,2249.65,22134.44,90.8
2018-W11,industry_commerce_and_business,3,366.94,122.31,0,1448.86,490.81,1481.6,2430.48,467.23,-2.2,True,100.29,Medium,1448.86,366.94,1081.92,74.7
2018-W32,kitchen_dining_laundry_garden_furniture,1,75.1,75.1,0,1149.45,469.61,1261.43,2088.67,210.23,-2.29,True,135.13,Medium,1149.45,75.1,1074.35,93.5
2018-W21,musical_instruments,6,1092.18,156.03,0,5190.9,1524.11,5534.54,8239.13,2142.67,-2.69,True,1050.49,High,5190.9,1092.18,4098.72,79.0
2018-W18,office_furniture,13,2682.19,178.81,0,15660.99,5493.2,17126.09,26647.39,4674.6,-2.36,True,1992.41,Medium,15660.99,2682.19,12978.8,82.9
2017-W27,perfumery,21,2064.51,93.84,2,6419.56,1182.29,6435.53,8784.15,4054.98,-3.68,True,1990.47,Critical,6419.56,2064.51,4355.05,67.8
2018-W13,perfumery,26,3831.78,136.85,0,6781.73,1073.2,6942.79,8928.14,4635.32,-2.75,True,803.54,High,6781.73,3831.78,2949.95,43.5
2018-W35,perfumery,1,87.62,87.62,0,7306.42,1630.06,7467.94,10566.53,4046.31,-4.43,True,3958.69,Critical,7306.42,87.62,7218.8,98.8
2018-W10,pet_shop,14,1328.51,69.92,0,3680.44,1135.64,3525.8,5951.72,1409.17,-2.07,True,80.66,Medium,3680.44,1328.51,2351.93,63.9
2018-W30,small_appliances_home_oven_and_coffee,7,1252.56,178.94,0,2831.52,682.65,2678.6,4196.83,1466.21,-2.31,True,213.65,Medium,2831.52,1252.56,1578.96,55.8
2018-W16,sports_leisure,110,15153.03,128.42,0,26591.88,3501.43,28035.19,33594.73,19589.03,-3.27,True,4436.0,Critical,26591.88,15153.03,11438.85,43.0
2018-W21,sports_leisure,52,9080.4,156.56,0,22114.17,3915.28,22762.26,29944.73,14283.61,-3.33,True,5203.21,Critical,22114.17,9080.4,13033.77,58.9
2018-W34,sports_leisure,74,8915.63,111.45,0,18250.1,4423.12,18364.18,27096.33,9403.86,-2.11,True,488.23,Medium,18250.1,8915.63,9334.47,51.1
2018-W35,sports_leisure,14,1321.82,82.61,0,17249.7,5533.03,18364.18,28315.77,6183.64,-2.88,True,4861.82,High,17249.7,1321.82,15927.88,92.3
2017-W24,stationery,8,899.44,112.43,0,1564.99,244.51,1513.74,2054.0,1075.97,-2.72,True,176.53,High,1564.99,899.44,665.55,42.5
2017-W35,stationery,9,971.87,97.19,0,2148.68,520.34,2336.46,3189.37,1108.0,-2.26,True,136.13,Medium,2148.68,971.87,1176.81,54.8
2018-W35,stationery,1,71.08,71.08,0,5534.34,2037.19,5548.79,9608.72,1459.96,-2.68,True,1388.88,High,5534.34,71.08,5463.26,98.7
2017-W25,telephony,23,941.43,39.23,0,3246.14,315.94,3137.5,3878.02,2614.27,-7.29,True,1672.84,Critical,3246.14,941.43,2304.71,71.0
2017-W26,telephony,24,1090.89,40.4,0,2982.06,879.58,3137.5,4741.22,1222.91,-2.15,True,132.02,Medium,2982.06,1090.89,1891.17,63.4
2017-W25,unknown,8,443.81,55.48,1,3174.66,1041.7,3231.95,5258.06,1091.26,-2.62,True,647.45,High,3174.66,443.81,2730.85,86.0
2018-W16,unknown,6,845.58,120.8,0,4465.26,1529.92,4272.12,7525.1,1405.41,-2.37,True,559.83,Medium,4465.26,845.58,3619.68,81.1
2018-W34,watches_gifts,56,10149.88,161.11,0,24846.41,4661.48,25396.08,34169.37,15523.44,-3.15,True,5373.56,Critical,24846.41,10149.88,14696.53,59.1
2018-W35,watches_gifts,5,464.07,77.34,0,23306.02,7004.88,25396.08,37315.77,9296.27,-3.26,True,8832.2,Critical,23306.02,464.07,22841.95,98.0
