year_week,category_en,total_orders,cancellations,cancel_rate_pct,rolling_cancel_mean,rolling_cancel_std,cancel_z_score,is_refund_spike
2018-W06,cool_stuff,35,1,2.86,0.255,0.7212489168102786,3.6117905195901097,True
2018-W21,electronics,27,1,3.7,0.255,0.7212489168102786,4.776436982720894,True
2018-W29,electronics,40,5,12.5,0.4625,1.308147545195113,9.201943652468179,True
2017-W45,fashion_bags_accessories,25,1,4.0,0.52125,1.474317638773952,2.359566153527771,True
2017-W12,furniture_decor,52,1,1.92,0.1525,0.43133513652379396,4.097741756548271,True
2017-W15,furniture_decor,27,1,3.7,0.39249999999999996,0.7504617626120981,4.407286506493996,True
2017-W24,furniture_decor,34,1,2.94,0.27125,0.7672108575874038,3.478509165514469,True
2017-W31,furniture_decor,80,2,2.5,0.3675,1.0394469683442247,2.0515717154834188,True
2017-W46,furniture_decor,95,6,6.32,0.215,0.6081118318204304,10.039271858474132,True
2018-W08,furniture_decor,99,7,7.07,0.555,1.5697770542341358,4.150270882369691,True
2018-W21,furniture_decor,65,3,4.62,0.25875000000000004,0.48001302065673096,9.085691038199641,True
2018-W31,furniture_decor,107,1,0.93,0.135,0.3818376618407338,2.0820366334937335,True
2017-W09,furniture_living_room,2,1,50.0,4.1675,8.335,5.498800239952009,True
2017-W17,garden_tools,26,7,26.92,0.29125,0.8237794000823275,32.325098196603065,True
2017-W34,garden_tools,30,1,3.33,0.48125,1.3611805537841062,2.092852408213168,True
2017-W50,garden_tools,49,1,2.04,0.18625,0.5267945519839838,3.518924015099457,True
2018-W11,garden_tools,44,2,4.55,0.48250000000000004,0.9025796363756531,4.506527552885216,True
2017-W15,health_beauty,34,1,2.94,0.25,0.7071067811865479,3.8042344827836234,True
2017-W27,health_beauty,59,1,1.69,0.245,0.692964645562817,2.0852434669684907,True
2017-W41,health_beauty,66,1,1.52,0.165,0.46669047558312204,2.9034232985083954,True
2018-W05,health_beauty,124,3,2.42,0.0925,0.2616295090390238,8.896167747090171,True
2018-W06,health_beauty,136,3,2.21,0.395,0.8582207508228041,2.1148404979253885,True
2018-W21,health_beauty,90,3,3.33,0.2475,0.35086627489279076,8.785398371336418,True
2018-W33,health_beauty,219,3,1.37,0.28375,0.4182254176876394,2.5972835558533394,True
2017-W08,housewares,19,1,5.26,0.52125,1.4743176387739516,3.214198809925901,True
2017-W17,housewares,55,5,9.09,1.02375,1.5092092300274338,5.344686369201026,True
2017-W33,housewares,53,5,9.43,0.36874999999999997,0.6836757272274597,13.253724886133497,True
2018-W03,housewares,73,1,1.37,0.08875,0.2510229073212125,5.104115850114405,True
2018-W05,housewares,75,4,5.33,0.17125,0.4843681451127791,10.650473306412108,True
2018-W25,housewares,96,2,2.08,0.1075,0.304055915910206,6.487293608793062,True
2018-W28,housewares,59,2,3.39,0.5925,0.8862078118106839,3.1567088020632528,True
2018-W07,luggage_accessories,14,1,7.14,0.83375,2.358201115257136,2.67417819421749,True
2017-W32,musical_instruments,3,4,133.33,2.5,7.0710678118654755,18.502156036527204,True
2017-W08,perfumery,8,1,12.5,0.9857142857142858,2.6079548637636676,4.4150632644266254,True
2018-W05,perfumery,46,1,2.17,0.205,0.5798275605729689,3.388938597637966,True
2018-W06,perfumery,49,2,4.08,0.47624999999999995,0.893147524208627,4.034887745104709,True
2017-W36,small_appliances,5,1,20.0,1.5625,4.419417382415922,4.17193000900063,True
2018-W17,small_appliances,10,1,10.0,1.25,3.53553390593274,2.4748737341529146,True
2017-W12,sports_leisure,50,2,4.0,0.54375,1.5379572490807398,2.2472991379089713,True
2017-W14,sports_leisure,47,3,6.38,1.04375,1.9349118658407738,2.7578775520513172,True
2017-W44,sports_leisure,90,1,1.11,0.1525,0.4313351365237916,2.219851616347945,True
2018-W05,sports_leisure,155,2,1.29,0.2575,0.4886351253382054,2.113028610633266,True
2018-W08,sports_leisure,153,3,1.96,0.44625000000000004,0.6394626650555904,2.3672218609798046,True
2018-W12,sports_leisure,142,4,2.82,0.76375,0.7528030951052195,2.7314579514482435,True
2018-W26,sports_leisure,92,3,3.26,0.22625,0.4226764213235169,7.177476308000547,True
2017-W40,stationery,17,1,5.88,0.78125,2.209708691207961,2.3074308483679418,True
2017-W20,telephony,47,2,4.26,0.76,1.4507928866656887,2.412473918344016,True
2017-W35,telephony,37,1,2.7,0.3375,0.954594154601713,2.4748737341532436,True
2018-W06,telephony,95,1,1.05,0.1375,0.3889087296522903,2.346308864848147,True
2018-W09,telephony,63,2,3.17,0.26875000000000004,0.49780769379325485,5.828053756848768,True
2017-W36,toys,47,1,2.13,0.305,0.862670273047577,2.115524386336829,True
2017-W42,toys,48,2,4.17,0.59125,0.8572787094721686,4.174546691126223,True
2018-W05,toys,30,1,3.33,0.245,0.6929646455628028,4.451886571348046,True
2018-W07,toys,33,1,3.03,0.41625,1.1773327906755935,2.2200604796712926,True
2018-W08,toys,31,2,6.45,0.7949999999999999,1.4742358795563923,3.8358854769574786,True
2018-W20,toys,56,1,1.79,0.245,0.6929646455628041,2.229550973333134,True
2018-W28,toys,23,1,4.35,0.22375,0.6328605691619463,6.519998560605709,True
2018-W32,toys,48,4,8.33,0.85625,1.6607738084571075,4.500161287432191,True
2017-W15,watches_gifts,13,1,7.69,0.695,1.965756851698602,3.5584258520862595,True
2017-W41,watches_gifts,62,1,1.61,0.195,0.5515432893255066,2.5655284496896558,True
2017-W51,watches_gifts,64,2,3.13,0.165,0.46669047558312077,6.353247291570049,True
