year_week,category_en,orders_count,weekly_revenue,avg_order_value,cancellations
2017-W01,consoles_games,1,124.84,124.84,0
2017-W01,pet_shop,5,86.1,17.22,0
2017-W01,bed_bath_table,1,84.59,84.59,0
2017-W01,fixed_telephony,2,46.55,23.27,0
2017-W01,baby,2,39.24,19.62,0
2017-W01,auto,2,39.24,19.62,0
2017-W01,music,2,37.24,18.62,0
2017-W01,stationery,1,19.62,19.62,0
2017-W02,furniture_decor,23,3827.56,123.47,0
2017-W02,garden_tools,9,3799.18,422.13,0
2017-W02,telephony,4,1686.57,337.31,0
2017-W02,sports_leisure,8,1282.14,160.27,0
2017-W02,watches_gifts,3,1169.27,389.76,0
2017-W02,computers_accessories,3,837.8,209.45,0
2017-W02,health_beauty,4,775.6,193.9,0
2017-W02,cool_stuff,3,614.0,204.67,0
2017-W02,housewares,2,548.45,274.23,0
2017-W02,small_appliances,2,516.99,258.5,0
2017-W02,toys,3,516.22,172.07,1
2017-W02,bed_bath_table,5,380.56,76.11,0
2017-W02,baby,2,205.84,102.92,0
2017-W02,fashion_bags_accessories,2,163.39,81.7,0
2017-W02,fixed_telephony,4,152.11,38.03,0
2017-W02,consoles_games,1,124.84,124.84,0
2017-W02,pet_shop,1,16.62,16.62,0
2017-W03,furniture_decor,56,9650.36,114.89,0
2017-W03,health_beauty,17,4029.44,223.86,0
2017-W03,stationery,3,3967.04,396.7,0
2017-W03,sports_leisure,14,3662.9,174.42,0
2017-W03,auto,10,2536.25,230.57,0
2017-W03,consoles_games,5,2429.96,347.14,0
2017-W03,cool_stuff,5,2313.96,385.66,0
2017-W03,bed_bath_table,10,1993.09,181.19,0
2017-W03,baby,9,1678.76,139.9,0
2017-W03,garden_tools,5,1296.1,162.01,0
2017-W03,toys,12,1115.64,92.97,0
2017-W03,housewares,4,764.09,191.02,0
2017-W03,electronics,10,685.53,62.32,0
2017-W03,fixed_telephony,8,673.33,67.33,0
2017-W03,watches_gifts,2,610.63,305.31,0
2017-W03,unknown,2,564.68,282.34,0
2017-W03,fashion_bags_accessories,4,506.01,101.2,0
2017-W03,home_appliances_2,1,485.38,485.38,0
2017-W03,computers_accessories,5,418.22,83.64,0
2017-W03,pet_shop,3,387.12,129.04,0
2017-W03,market_place,3,219.92,73.31,0
2017-W03,perfumery,2,216.14,72.05,0
2017-W03,fashion_male_clothing,1,159.11,159.11,0
2017-W03,fashion_underwear_beach,1,102.15,102.15,0
2017-W03,telephony,2,55.88,27.94,0
2017-W03,small_appliances,1,53.46,53.46,0
2017-W03,fashion_shoes,1,49.01,49.01,0
2017-W04,sports_leisure,31,10865.6,252.69,0
2017-W04,furniture_decor,42,8630.66,148.8,0
2017-W04,cool_stuff,18,6849.51,285.4,0
2017-W04,auto,12,5696.0,379.73,1
2017-W04,health_beauty,44,5644.56,122.71,0
2017-W04,perfumery,22,5306.62,196.54,0
2017-W04,baby,13,5135.65,320.98,0
2017-W04,garden_tools,20,3743.98,149.76,0
2017-W04,consoles_games,11,3582.72,325.7,0
2017-W04,computers_accessories,13,3233.65,190.21,0
2017-W04,toys,22,3199.67,139.12,0
2017-W04,watches_gifts,3,2890.49,963.5,0
2017-W04,housewares,13,2716.82,135.84,0
2017-W04,bed_bath_table,16,2128.97,106.45,0
2017-W04,fashion_bags_accessories,13,1632.32,81.62,0
2017-W04,unknown,8,1364.89,151.65,0
2017-W04,telephony,10,1223.94,111.27,0
2017-W04,air_conditioning,3,1103.79,275.95,0
2017-W04,pet_shop,4,1047.04,174.51,0
2017-W04,furniture_living_room,3,948.54,237.13,0
2017-W04,home_appliances_2,3,928.34,71.41,0
2017-W04,small_appliances,1,875.96,875.96,0
2017-W04,stationery,3,723.07,241.02,0
2017-W04,office_furniture,4,670.56,167.64,0
2017-W04,luggage_accessories,3,426.48,142.16,0
2017-W04,musical_instruments,1,357.74,357.74,0
2017-W04,fixed_telephony,4,300.86,60.17,0
2017-W04,market_place,1,239.9,239.9,0
2017-W04,security_and_services,1,209.06,209.06,0
2017-W04,books_general_interest,1,144.14,144.14,0
2017-W04,kitchen_dining_laundry_garden_furniture,1,128.2,128.2,0
2017-W04,agro_industry_and_commerce,1,122.84,61.42,0
2017-W04,fashio_female_clothing,2,102.81,51.41,0
2017-W04,home_comfort_2,2,95.57,47.78,0
2017-W04,electronics,1,86.9,86.9,0
2017-W04,food,2,78.82,39.41,0
2017-W05,health_beauty,60,13816.76,209.34,0
2017-W05,garden_tools,15,13483.86,464.96,0
2017-W05,furniture_decor,57,12318.6,173.5,0
2017-W05,office_furniture,18,6318.95,263.29,0
2017-W05,unknown,15,5765.63,360.35,0
2017-W05,sports_leisure,34,5611.31,130.5,0
2017-W05,watches_gifts,11,5588.11,465.68,0
2017-W05,cool_stuff,21,4543.2,189.3,0
2017-W05,furniture_living_room,9,4114.86,342.9,0
2017-W05,bed_bath_table,34,3813.78,108.97,1
2017-W05,computers_accessories,16,3800.48,200.03,0
2017-W05,telephony,22,3468.3,128.46,1
2017-W05,toys,15,2952.47,184.53,0
2017-W05,auto,15,2566.55,150.97,0
2017-W05,perfumery,20,2564.51,106.85,0
2017-W05,consoles_games,9,2482.57,275.84,0
2017-W05,computers,1,2217.99,2217.99,0
2017-W05,baby,10,1979.35,141.38,0
2017-W05,musical_instruments,2,1622.44,811.22,0
2017-W05,small_appliances,6,1238.33,176.9,0
2017-W05,fashion_bags_accessories,10,1124.75,102.25,0
2017-W05,luggage_accessories,8,994.59,110.51,0
2017-W05,home_appliances_2,4,934.97,186.99,0
2017-W05,stationery,5,929.17,185.83,0
2017-W05,pet_shop,8,818.73,81.87,0
2017-W05,housewares,4,608.28,121.66,0
2017-W05,construction_tools_construction,2,506.03,253.01,0
2017-W05,fashion_underwear_beach,3,286.77,71.69,0
2017-W05,tablets_printing_image,2,234.0,117.0,0
2017-W05,market_place,4,207.49,51.87,0
2017-W05,books_general_interest,2,192.87,96.44,0
2017-W05,fashion_male_clothing,2,174.21,87.11,0
2017-W05,food,1,167.1,167.1,0
2017-W05,home_confort,1,124.35,124.35,0
2017-W05,fixed_telephony,4,107.35,26.84,0
2017-W05,dvds_blu_ray,1,95.6,47.8,0
2017-W05,agro_industry_and_commerce,2,82.85,41.42,0
2017-W05,audio,1,44.01,44.01,0
2017-W06,housewares,24,10325.51,356.05,1
2017-W06,sports_leisure,50,7709.13,120.46,0
2017-W06,office_furniture,25,7351.03,245.03,0
2017-W06,auto,33,7074.87,202.14,0
2017-W06,furniture_decor,53,6982.12,114.46,0
2017-W06,bed_bath_table,43,6597.57,131.95,1
2017-W06,computers_accessories,27,6382.21,227.94,0
2017-W06,health_beauty,48,5966.01,104.67,0
2017-W06,telephony,28,5760.76,160.02,1
2017-W06,watches_gifts,8,5251.6,656.45,0
2017-W06,toys,21,4138.26,188.1,1
2017-W06,cool_stuff,18,4019.3,191.4,0
2017-W06,perfumery,15,3671.94,229.5,0
2017-W06,garden_tools,11,3056.54,254.71,0
2017-W06,small_appliances,12,2784.58,214.2,0
2017-W06,unknown,22,2665.3,111.05,0
2017-W06,stationery,11,1351.32,112.61,0
2017-W06,costruction_tools_garden,1,1249.36,624.68,0
2017-W06,fashion_bags_accessories,14,1231.77,82.12,0
2017-W06,baby,11,1176.06,106.91,0
2017-W06,luggage_accessories,7,1169.16,73.07,0
2017-W06,furniture_living_room,3,1103.18,220.64,0
2017-W06,pet_shop,10,834.81,83.48,0
2017-W06,consoles_games,3,810.18,270.06,0
2017-W06,musical_instruments,2,713.98,237.99,0
2017-W06,electronics,5,488.18,81.36,0
2017-W06,fashion_underwear_beach,3,456.76,114.19,0
2017-W06,books_general_interest,3,381.86,127.29,0
2017-W06,market_place,6,285.41,40.77,0
2017-W06,tablets_printing_image,2,224.16,112.08,0
2017-W06,food,2,222.14,111.07,0
2017-W06,home_construction,1,203.42,203.42,0
2017-W06,home_appliances,1,174.28,174.28,0
2017-W06,construction_tools_construction,1,171.03,171.03,0
2017-W06,fashion_male_clothing,2,153.9,51.3,0
2017-W06,agro_industry_and_commerce,2,153.64,76.82,0
2017-W06,fashio_female_clothing,1,134.0,134.0,0
2017-W06,air_conditioning,1,124.97,62.48,0
2017-W06,fixed_telephony,3,115.47,28.87,0
2017-W06,fashion_shoes,1,45.97,45.97,0
2017-W06,dvds_blu_ray,1,36.94,36.94,0
2017-W07,bed_bath_table,39,9945.1,187.64,0
2017-W07,furniture_decor,52,9613.25,135.4,0
2017-W07,garden_tools,20,8165.47,302.42,1
2017-W07,auto,17,5753.15,261.51,0
2017-W07,health_beauty,26,5514.83,190.17,0
2017-W07,sports_leisure,23,4517.04,180.68,1
2017-W07,office_furniture,11,4243.33,303.09,0
2017-W07,computers_accessories,28,3822.86,123.32,0
2017-W07,air_conditioning,9,2824.49,313.83,0
2017-W07,housewares,18,2672.51,140.66,0
2017-W07,toys,15,2662.56,156.62,0
2017-W07,cool_stuff,17,2426.0,142.71,0
2017-W07,small_appliances,4,1992.07,398.41,0
2017-W07,telephony,25,1812.16,60.41,0
2017-W07,perfumery,8,1719.09,191.01,0
2017-W07,pet_shop,8,1363.52,170.44,0
2017-W07,baby,11,1013.04,92.09,0
2017-W07,electronics,3,937.18,234.29,0
2017-W07,market_place,6,844.94,140.82,1
2017-W07,home_construction,1,820.2,410.1,0
2017-W07,watches_gifts,3,802.74,267.58,0
2017-W07,fashion_bags_accessories,6,747.29,93.41,0
2017-W07,home_appliances,6,681.12,113.52,0
2017-W07,furniture_bedroom,1,501.88,501.88,0
2017-W07,unknown,7,486.45,69.49,0
2017-W07,food,4,474.35,118.59,0
2017-W07,construction_tools_safety,1,396.86,396.86,0
2017-W07,fashion_male_clothing,2,306.39,153.19,0
2017-W07,stationery,2,287.7,95.9,0
2017-W07,fixed_telephony,6,287.14,47.86,0
2017-W07,home_confort,1,245.78,245.78,0
2017-W07,fashion_shoes,1,222.8,111.4,0
2017-W07,luggage_accessories,2,220.0,110.0,0
2017-W07,consoles_games,2,187.49,93.75,0
2017-W07,books_technical,1,182.4,182.4,0
2017-W07,musical_instruments,2,175.23,87.62,0
2017-W07,books_general_interest,1,166.0,166.0,0
2017-W07,fashio_female_clothing,1,149.09,149.09,0
2017-W07,kitchen_dining_laundry_garden_furniture,1,131.34,65.67,0
2017-W07,books_imported,1,114.9,114.9,0
2017-W07,audio,2,105.91,26.48,0
2017-W07,agro_industry_and_commerce,3,104.85,34.95,0
2017-W07,cine_photo,1,95.24,95.24,0
2017-W07,fashion_underwear_beach,1,87.68,87.68,0
2017-W07,construction_tools_construction,1,56.96,56.96,0
2017-W08,furniture_decor,57,10462.32,132.43,0
2017-W08,furniture_living_room,6,6284.88,523.74,1
2017-W08,health_beauty,34,6276.99,130.77,0
2017-W08,sports_leisure,29,5415.63,154.73,0
2017-W08,bed_bath_table,32,5166.62,126.02,0
2017-W08,garden_tools,18,4463.49,234.92,0
2017-W08,auto,17,4034.86,212.36,1
2017-W08,housewares,19,3710.22,132.51,1
2017-W08,computers,1,3602.47,3602.47,0
2017-W08,cool_stuff,13,3084.23,237.25,0
2017-W08,computers_accessories,25,3059.42,105.5,0
2017-W08,consoles_games,7,1667.67,238.24,0
2017-W08,unknown,7,1628.62,135.72,0
2017-W08,watches_gifts,8,1586.16,144.2,0
2017-W08,perfumery,8,1419.46,177.43,1
2017-W08,telephony,27,1395.29,51.68,0
2017-W08,baby,5,1228.42,245.68,0
2017-W08,pet_shop,8,1112.11,139.01,0
2017-W08,toys,11,1056.69,88.06,0
2017-W08,market_place,4,772.3,128.72,0
2017-W08,small_appliances,3,525.17,175.06,0
2017-W08,air_conditioning,2,490.25,245.13,0
2017-W08,tablets_printing_image,4,482.36,120.59,0
2017-W08,fashion_bags_accessories,5,399.75,79.95,0
2017-W08,electronics,3,386.48,96.62,0
2017-W08,luggage_accessories,4,370.69,92.67,0
2017-W08,books_general_interest,3,336.7,112.23,0
2017-W08,musical_instruments,1,274.82,274.82,0
2017-W08,fashio_female_clothing,2,236.68,118.34,0
2017-W08,fixed_telephony,4,164.9,41.23,0
2017-W08,home_construction,1,151.05,151.05,0
2017-W08,industry_commerce_and_business,1,134.94,134.94,0
2017-W08,fashion_male_clothing,1,128.52,128.52,0
2017-W08,stationery,1,77.84,77.84,0
2017-W08,food,2,66.61,22.2,0
2017-W08,audio,1,36.19,36.19,0
2017-W08,agro_industry_and_commerce,1,36.1,12.03,0
2017-W09,furniture_decor,82,14451.8,123.52,1
2017-W09,sports_leisure,42,11916.45,259.05,0
2017-W09,bed_bath_table,48,8597.53,148.23,0
2017-W09,watches_gifts,18,7290.01,383.68,1
2017-W09,cool_stuff,22,6469.14,202.16,0
2017-W09,garden_tools,15,5626.23,296.12,0
2017-W09,small_appliances,8,4699.7,587.46,0
2017-W09,health_beauty,25,4648.89,149.96,0
2017-W09,computers_accessories,22,4010.68,160.43,0
2017-W09,toys,20,3431.47,149.19,0
2017-W09,housewares,29,2922.12,94.26,0
2017-W09,office_furniture,3,2792.84,698.21,0
2017-W09,fixed_telephony,6,2680.01,223.33,0
2017-W09,perfumery,13,2419.94,186.15,0
2017-W09,pet_shop,7,2273.34,227.33,0
2017-W09,consoles_games,10,2114.51,192.23,0
2017-W09,auto,10,1922.9,174.81,1
2017-W09,unknown,12,1906.76,146.67,0
2017-W09,market_place,6,1347.95,192.56,0
2017-W09,fashion_bags_accessories,7,1162.25,116.22,0
2017-W09,stationery,6,1010.22,168.37,0
2017-W09,electronics,7,952.28,86.57,0
2017-W09,telephony,21,942.35,44.87,0
2017-W09,air_conditioning,2,920.28,460.14,0
2017-W09,baby,9,890.35,80.94,0
2017-W09,books_general_interest,4,861.09,172.22,0
2017-W09,construction_tools_construction,3,768.73,256.24,0
2017-W09,musical_instruments,3,628.17,209.39,0
2017-W09,luggage_accessories,4,591.5,147.88,0
2017-W09,furniture_living_room,2,540.78,90.13,1
2017-W09,industry_commerce_and_business,2,282.03,141.01,0
2017-W09,home_appliances,2,229.9,76.63,0
2017-W09,fashion_shoes,2,220.02,110.01,0
2017-W09,drinks,1,187.52,187.52,0
2017-W09,food,1,177.38,177.38,0
2017-W09,tablets_printing_image,1,110.3,110.3,0
2017-W09,home_confort,1,101.14,101.14,0
2017-W09,fashion_male_clothing,1,82.19,82.19,0
2017-W09,audio,1,61.74,61.74,0
2017-W09,fashion_sport,1,54.01,54.01,0
2017-W09,kitchen_dining_laundry_garden_furniture,1,46.99,23.5,0
2017-W09,food_drink,1,35.96,35.96,1
2017-W09,home_appliances_2,1,32.53,32.53,0
2017-W09,art,1,27.59,27.59,0
2017-W10,computers_accessories,39,12781.48,250.62,0
2017-W10,bed_bath_table,59,12417.29,167.8,0
2017-W10,office_furniture,16,10092.43,403.7,0
2017-W10,furniture_decor,55,7895.9,112.8,0
2017-W10,health_beauty,40,7007.76,162.97,0
2017-W10,housewares,35,6101.72,135.59,0
2017-W10,sports_leisure,30,5945.45,138.27,0
2017-W10,cool_stuff,28,5137.76,177.16,0
2017-W10,auto,20,4942.81,224.67,2
2017-W10,garden_tools,25,4645.4,76.15,0
2017-W10,perfumery,18,4469.76,235.25,0
2017-W10,toys,23,3933.1,163.88,0
2017-W10,watches_gifts,16,3292.76,205.8,0
2017-W10,unknown,18,3266.48,155.55,0
2017-W10,consoles_games,11,3035.3,275.94,1
2017-W10,air_conditioning,5,2420.77,484.15,0
2017-W10,telephony,30,1860.98,54.73,1
2017-W10,stationery,15,1776.63,93.51,0
2017-W10,dvds_blu_ray,2,1568.95,522.98,1
2017-W10,small_appliances,5,1471.6,294.32,0
2017-W10,luggage_accessories,7,1435.12,130.47,0
2017-W10,food,5,1223.65,203.94,0
2017-W10,audio,7,1058.69,132.34,0
2017-W10,market_place,7,1050.35,131.29,0
2017-W10,electronics,5,951.21,158.53,0
2017-W10,home_construction,1,925.56,154.26,0
2017-W10,baby,11,878.67,67.59,0
2017-W10,fashion_bags_accessories,10,847.38,65.18,0
2017-W10,books_general_interest,7,725.15,103.59,1
2017-W10,fixed_telephony,4,575.49,115.1,1
2017-W10,furniture_living_room,4,512.71,128.18,0
2017-W10,fashion_shoes,2,479.99,68.57,0
2017-W10,musical_instruments,2,478.6,239.3,0
2017-W10,home_confort,3,311.81,103.94,0
2017-W10,pet_shop,2,221.07,110.53,0
2017-W10,construction_tools_safety,1,208.17,208.17,0
2017-W10,fashion_underwear_beach,2,161.34,80.67,0
2017-W10,kitchen_dining_laundry_garden_furniture,1,66.94,66.94,0
2017-W10,books_technical,1,47.78,47.78,0
2017-W10,music,1,42.51,42.51,0
2017-W10,home_appliances,1,41.52,41.52,0
2017-W10,food_drink,1,34.42,34.42,0
2017-W10,fashion_male_clothing,1,29.42,29.42,0
2017-W11,watches_gifts,24,12746.63,439.54,0
2017-W11,garden_tools,43,11154.47,199.19,1
2017-W11,furniture_decor,60,9505.34,123.45,0
2017-W11,health_beauty,50,9261.04,171.5,1
2017-W11,housewares,42,9122.62,144.8,1
2017-W11,office_furniture,22,8577.14,276.68,0
2017-W11,bed_bath_table,52,7816.98,128.15,0
2017-W11,sports_leisure,34,7240.79,157.41,0
2017-W11,perfumery,33,7093.13,214.94,0
2017-W11,cool_stuff,29,5630.47,194.15,0
2017-W11,small_appliances,8,4617.02,513.0,0
2017-W11,consoles_games,13,3927.94,261.86,0
2017-W11,pet_shop,14,3802.38,253.49,0
2017-W11,computers_accessories,26,3711.36,132.55,0
2017-W11,books_general_interest,4,3087.74,385.97,0
2017-W11,auto,15,2798.09,174.88,0
2017-W11,toys,23,2747.64,119.46,0
2017-W11,fashion_bags_accessories,14,1967.1,115.71,0
2017-W11,electronics,7,1958.27,244.78,0
2017-W11,stationery,11,1943.39,161.95,0
2017-W11,baby,10,1599.83,145.44,0
2017-W11,luggage_accessories,8,1423.83,177.98,0
2017-W11,telephony,21,1403.84,63.81,0
2017-W11,food,10,1312.53,131.25,0
2017-W11,furniture_living_room,5,1144.87,190.81,0
2017-W11,air_conditioning,4,822.92,137.15,0
2017-W11,unknown,6,769.77,109.97,1
2017-W11,home_appliances_2,1,535.9,535.9,0
2017-W11,musical_instruments,2,402.43,201.22,0
2017-W11,drinks,2,346.43,173.22,0
2017-W11,home_confort,1,338.83,338.83,0
2017-W11,audio,2,270.36,135.18,0
2017-W11,fashion_shoes,2,261.88,130.94,0
2017-W11,home_construction,2,257.07,85.69,0
2017-W11,construction_tools_safety,1,217.59,217.59,0
2017-W11,fashion_male_clothing,1,216.51,216.51,0
2017-W11,home_appliances,4,186.0,46.5,0
2017-W11,market_place,2,153.56,76.78,0
2017-W11,construction_tools_construction,1,126.69,126.69,1
2017-W11,tablets_printing_image,1,124.18,124.18,0
2017-W11,fashion_underwear_beach,3,113.45,37.82,0
2017-W11,fixed_telephony,1,74.59,74.59,0
2017-W11,agro_industry_and_commerce,1,74.17,74.17,0
2017-W11,food_drink,2,65.65,32.83,0
2017-W11,books_technical,1,55.96,27.98,0
2017-W11,art,1,47.05,47.05,0
2017-W11,fashio_female_clothing,1,30.86,30.86,0
2017-W11,home_comfort_2,1,23.86,11.93,0
2017-W12,computers_accessories,35,11403.68,285.09,0
2017-W12,garden_tools,26,11124.67,300.67,0
2017-W12,bed_bath_table,60,10389.46,123.68,0
2017-W12,sports_leisure,50,8359.67,141.69,2
2017-W12,furniture_decor,52,7905.46,121.62,1
2017-W12,health_beauty,53,7607.06,135.84,0
2017-W12,perfumery,29,6105.66,196.96,0
2017-W12,cool_stuff,29,5642.46,182.01,1
2017-W12,housewares,51,5525.23,92.09,1
2017-W12,pet_shop,14,5251.96,308.94,0
2017-W12,auto,15,5035.33,251.77,0
2017-W12,telephony,54,4574.66,73.78,2
2017-W12,watches_gifts,15,4545.19,303.01,0
2017-W12,furniture_living_room,6,4225.19,384.11,0
2017-W12,toys,20,3272.32,155.82,0
2017-W12,office_furniture,12,3266.93,217.8,0
2017-W12,luggage_accessories,8,2728.59,341.07,0
2017-W12,small_appliances,7,2238.73,319.82,0
2017-W12,consoles_games,9,2015.39,223.93,0
2017-W12,unknown,14,1897.21,105.4,0
2017-W12,fashion_bags_accessories,19,1405.6,73.98,0
2017-W12,home_confort,3,1384.15,346.04,0
2017-W12,electronics,9,1021.49,113.5,0
2017-W12,baby,8,784.89,98.11,0
2017-W12,stationery,8,648.8,81.1,0
2017-W12,fashion_shoes,5,639.83,127.97,0
2017-W12,fashion_male_clothing,3,494.86,98.97,0
2017-W12,home_construction,2,307.36,153.68,0
2017-W12,market_place,2,291.0,145.5,0
2017-W12,books_general_interest,2,250.42,125.21,0
2017-W12,art,3,246.2,49.24,0
2017-W12,food,2,230.92,115.46,0
2017-W12,air_conditioning,3,226.59,75.53,0
2017-W12,fixed_telephony,3,124.31,41.44,0
2017-W12,drinks,1,122.2,61.1,0
2017-W12,tablets_printing_image,1,113.86,113.86,0
2017-W12,kitchen_dining_laundry_garden_furniture,2,102.11,51.05,0
2017-W12,home_appliances,2,98.43,49.22,0
2017-W12,audio,1,45.95,45.95,0
2017-W12,agro_industry_and_commerce,1,36.52,36.52,0
2017-W12,food_drink,1,32.86,32.86,0
2017-W12,dvds_blu_ray,1,32.68,32.68,0
2017-W12,musical_instruments,1,32.51,32.51,0
2017-W13,auto,21,13402.27,496.38,2
2017-W13,small_appliances,7,9181.69,1147.71,0
2017-W13,bed_bath_table,68,8942.84,109.06,0
2017-W13,computers_accessories,35,8638.75,227.34,1
2017-W13,watches_gifts,17,6715.04,373.06,0
2017-W13,sports_leisure,34,5923.8,148.09,0
2017-W13,cool_stuff,23,5884.93,245.21,0
2017-W13,health_beauty,39,5840.56,129.79,0
2017-W13,garden_tools,19,5726.57,260.3,0
2017-W13,perfumery,18,5001.48,250.07,0
2017-W13,furniture_decor,38,4913.64,111.67,0
2017-W13,toys,21,4503.39,187.64,0
2017-W13,telephony,43,4061.6,84.62,0
2017-W13,unknown,16,2773.61,154.09,0
2017-W13,furniture_living_room,4,2687.48,383.93,0
2017-W13,fixed_telephony,3,2669.71,444.95,0
2017-W13,office_furniture,16,2660.58,166.29,0
2017-W13,housewares,30,2065.51,62.59,0
2017-W13,luggage_accessories,10,2039.64,185.42,0
2017-W13,stationery,19,1946.42,102.44,0
2017-W13,fashion_bags_accessories,15,1849.19,108.78,0
2017-W13,electronics,7,1554.46,172.72,0
2017-W13,home_confort,6,1293.32,215.55,0
2017-W13,musical_instruments,3,1113.73,278.43,0
2017-W13,pet_shop,9,918.29,91.83,0
2017-W13,consoles_games,6,905.83,100.65,0
2017-W13,food,5,819.64,117.09,0
2017-W13,baby,8,772.44,96.56,0
2017-W13,tablets_printing_image,4,534.75,133.69,0
2017-W13,books_general_interest,3,433.04,144.35,0
2017-W13,dvds_blu_ray,1,427.16,427.16,0
2017-W13,home_comfort_2,2,367.03,183.51,0
2017-W13,fashion_shoes,3,365.81,121.94,0
2017-W13,air_conditioning,4,305.38,76.34,0
2017-W13,audio,3,239.41,79.8,0
2017-W13,fashion_underwear_beach,1,185.83,185.83,0
2017-W13,fashion_male_clothing,1,119.3,119.3,0
2017-W13,signaling_and_security,1,91.23,91.23,0
2017-W13,fashion_sport,1,60.86,60.86,0
2017-W13,market_place,1,30.86,30.86,0
2017-W14,fixed_telephony,3,13218.97,1888.42,0
2017-W14,furniture_decor,43,12046.17,219.02,0
2017-W14,garden_tools,25,10040.76,346.23,0
2017-W14,bed_bath_table,63,9115.36,113.94,0
2017-W14,sports_leisure,47,8938.06,168.64,3
2017-W14,perfumery,32,8524.77,224.34,0
2017-W14,watches_gifts,26,8293.83,276.46,0
2017-W14,computers_accessories,21,6753.5,306.98,0
2017-W14,cool_stuff,28,5229.07,141.33,1
2017-W14,unknown,21,4650.03,172.22,0
2017-W14,health_beauty,35,4381.26,112.34,0
2017-W14,housewares,35,4237.42,90.16,0
2017-W14,auto,17,4073.1,193.96,0
2017-W14,small_appliances,5,3986.91,797.38,0
2017-W14,toys,31,3952.55,119.77,0
2017-W14,office_furniture,10,3593.64,326.69,0
2017-W14,telephony,33,3437.38,92.9,0
2017-W14,consoles_games,5,2644.64,528.93,0
2017-W14,market_place,6,2494.28,356.33,0
2017-W14,luggage_accessories,10,2183.82,181.99,0
2017-W14,pet_shop,9,1841.11,204.57,0
2017-W14,dvds_blu_ray,1,1435.58,1435.58,0
2017-W14,drinks,1,1225.44,204.24,0
2017-W14,fashion_bags_accessories,8,943.68,94.37,0
2017-W14,electronics,13,936.42,72.03,0
2017-W14,musical_instruments,3,765.78,255.26,0
2017-W14,baby,10,743.85,74.39,0
2017-W14,stationery,8,648.83,81.1,0
2017-W14,kitchen_dining_laundry_garden_furniture,3,570.01,142.5,0
2017-W14,air_conditioning,3,529.85,132.46,0
2017-W14,fashion_shoes,3,426.36,106.59,0
2017-W14,home_confort,2,388.17,194.08,0
2017-W14,food,4,289.3,57.86,0
