year_week,category_en,orders_count,weekly_revenue,avg_order_value,cancellations,rolling_mean,rolling_std,rolling_median,upper_bound,lower_bound,z_score,is_anomaly,revenue_at_risk
2017-W46,agro_industry_and_commerce,3,2579.15,644.79,0,994.96,863.03,901.34,2721.03,0.0,1.84,False,0.0
2017-W47,agro_industry_and_commerce,6,41390.12,3762.74,0,1265.1,986.1,1191.31,3237.3,0.0,40.69,True,0.0
2017-W48,agro_industry_and_commerce,3,927.69,309.23,0,6332.08,14198.9,1564.46,34729.88,0.0,-0.38,False,0.0
2017-W49,agro_industry_and_commerce,4,1321.02,330.25,0,6236.21,14237.22,1191.31,34710.65,0.0,-0.35,False,0.0
2017-W51,agro_industry_and_commerce,2,4045.27,1348.42,0,6395.87,14164.83,1377.64,34725.54,0.0,-0.17,False,0.0
2017-W52,agro_industry_and_commerce,2,977.06,325.69,0,6896.89,13977.43,1981.76,34851.76,0.0,-0.42,False,0.0
2018-W01,agro_industry_and_commerce,4,2497.69,624.42,0,6900.48,13975.69,1981.76,34851.87,0.0,-0.32,False,0.0
2018-W02,agro_industry_and_commerce,4,1769.25,442.31,0,6896.53,13977.11,1965.98,34850.75,0.0,-0.37,False,0.0
2018-W03,agro_industry_and_commerce,3,1502.62,250.44,0,6938.41,13958.9,2133.47,34856.2,0.0,-0.39,False,0.0
2018-W04,agro_industry_and_commerce,2,120.21,60.11,0,6803.84,14012.01,1635.94,34827.86,0.0,-0.48,False,0.0
2018-W05,agro_industry_and_commerce,6,1831.68,305.28,0,1645.1,1190.12,1411.82,4025.34,0.0,0.16,False,0.0
2018-W06,agro_industry_and_commerce,5,4017.79,446.42,0,1758.1,1154.66,1635.94,4067.42,0.0,1.96,False,0.0
2018-W07,agro_industry_and_commerce,2,2329.44,93.18,0,2095.2,1380.41,1800.46,4856.02,0.0,0.17,False,0.0
2018-W08,agro_industry_and_commerce,4,1443.62,360.9,0,1880.72,1147.85,1800.46,4176.41,0.0,-0.38,False,0.0
2018-W09,agro_industry_and_commerce,8,2191.92,243.55,0,1939.04,1106.48,1800.46,4152.0,0.0,0.23,False,0.0
2018-W10,agro_industry_and_commerce,5,1396.22,279.24,0,1900.82,1089.58,1800.46,4079.97,0.0,-0.46,False,0.0
2018-W11,agro_industry_and_commerce,7,2931.94,127.48,0,1854.19,1103.9,1667.15,4061.99,0.0,0.98,False,0.0
2018-W12,agro_industry_and_commerce,7,1622.48,202.81,0,2032.85,1153.43,2011.8,4339.71,0.0,-0.36,False,0.0
2018-W13,agro_industry_and_commerce,4,1735.38,347.08,0,2220.64,889.69,2011.8,4000.02,441.25,-0.55,False,0.0
2018-W14,agro_industry_and_commerce,3,1019.65,339.88,0,2208.6,896.33,1963.65,4001.27,415.93,-1.33,False,0.0
2018-W15,agro_industry_and_commerce,2,669.61,334.81,0,1833.83,614.2,1678.93,3062.24,605.42,-1.9,False,0.0
2018-W16,agro_industry_and_commerce,3,2211.9,737.3,0,1626.35,697.56,1533.05,3021.47,231.23,0.84,False,0.0
2018-W17,agro_industry_and_commerce,4,882.5,220.63,0,1722.39,721.29,1678.93,3164.97,279.81,-1.16,False,0.0
2018-W18,agro_industry_and_commerce,1,52.87,52.87,0,1558.71,747.61,1509.35,3053.93,63.49,-2.01,True,10.62
2018-W19,agro_industry_and_commerce,5,2436.03,487.21,0,1390.79,920.25,1321.06,3231.29,0.0,1.14,False,0.0
2018-W20,agro_industry_and_commerce,1,453.53,453.53,0,1328.8,811.93,1321.06,2952.67,0.0,-1.08,False,0.0
2018-W22,agro_industry_and_commerce,1,490.79,490.79,0,1182.68,855.55,951.08,2893.78,0.0,-0.81,False,0.0
2018-W23,agro_industry_and_commerce,2,1775.98,887.99,0,1027.11,853.84,776.06,2734.8,0.0,0.88,False,0.0
2018-W24,agro_industry_and_commerce,2,329.58,164.79,0,1121.65,893.83,776.06,2909.32,0.0,-0.89,False,0.0
2018-W25,agro_industry_and_commerce,2,244.48,122.24,0,1079.15,925.91,686.64,2930.97,0.0,-0.9,False,0.0
2018-W26,agro_industry_and_commerce,4,1490.39,372.6,0,833.22,839.29,472.16,2511.8,0.0,0.78,False,0.0
2018-W27,agro_industry_and_commerce,2,658.22,329.11,0,909.21,871.3,472.16,2651.8,0.0,-0.29,False,0.0
2018-W28,agro_industry_and_commerce,1,614.63,614.63,0,984.88,810.47,574.5,2605.81,0.0,-0.46,False,0.0
2018-W29,agro_industry_and_commerce,13,3695.1,246.34,0,757.2,562.46,552.71,1882.12,0.0,5.22,True,0.0
2018-W30,agro_industry_and_commerce,10,3145.82,314.58,0,1162.4,1161.29,636.42,3484.97,0.0,1.71,False,0.0
2018-W31,agro_industry_and_commerce,6,4996.0,555.11,0,1494.28,1311.59,1074.3,4117.45,0.0,2.67,True,0.0
2018-W32,agro_industry_and_commerce,3,1362.64,340.66,0,1896.78,1809.84,1074.3,5516.45,0.0,-0.3,False,0.0
2018-W33,agro_industry_and_commerce,1,42.17,42.17,0,2025.91,1716.49,1426.52,5458.89,0.0,-1.16,False,0.0
2018-W34,agro_industry_and_commerce,6,1156.13,192.69,0,2000.62,1747.69,1426.52,5496.0,0.0,-0.48,False,0.0
2016-W40,air_conditioning,5,4675.43,467.54,0,,,,,,,False,
2017-W04,air_conditioning,3,1103.79,275.95,0,,,,,,,False,
2017-W06,air_conditioning,1,124.97,62.48,0,,,,,,,False,
2017-W07,air_conditioning,9,2824.49,313.83,0,,,,,,,False,
2017-W08,air_conditioning,2,490.25,245.13,0,2182.17,2001.99,1964.14,6186.15,0.0,-0.85,False,0.0
2017-W09,air_conditioning,2,920.28,460.14,0,1843.79,1891.69,1103.79,5627.17,0.0,-0.49,False,0.0
2017-W10,air_conditioning,5,2420.77,484.15,0,1689.87,1733.48,1012.04,5156.82,0.0,0.42,False,0.0
2017-W11,air_conditioning,4,822.92,137.15,0,1794.28,1606.37,1103.79,5007.03,0.0,-0.6,False,0.0
2017-W12,air_conditioning,3,226.59,75.53,0,1672.86,1526.35,1012.04,4725.56,0.0,-0.95,False,0.0
2017-W13,air_conditioning,4,305.38,76.34,0,1116.76,993.58,871.6,3103.93,0.0,-0.82,False,0.0
2017-W14,air_conditioning,3,529.85,132.46,0,1016.96,1034.34,656.58,3085.63,0.0,-0.47,False,0.0
2017-W15,air_conditioning,3,1476.71,492.24,0,1067.57,993.56,676.38,3054.68,0.0,0.41,False,0.0
2017-W16,air_conditioning,4,961.36,192.27,0,899.09,733.26,676.38,2365.6,0.0,0.08,False,0.0
2017-W17,air_conditioning,2,225.07,112.53,0,957.98,714.41,871.6,2386.79,0.0,-1.03,False,0.0
2017-W18,air_conditioning,2,646.02,215.34,0,871.08,760.45,676.38,2391.97,0.0,-0.3,False,0.0
2017-W19,air_conditioning,3,579.19,193.06,0,649.24,431.5,587.93,1512.24,0.0,-0.16,False,0.0
2017-W20,air_conditioning,1,60.14,60.14,0,618.77,426.06,554.52,1470.88,0.0,-1.31,False,0.0
2017-W22,air_conditioning,1,115.44,115.44,0,597.96,451.26,554.52,1500.49,0.0,-1.07,False,0.0
2017-W23,air_conditioning,3,2155.57,431.11,0,574.22,473.31,554.52,1520.85,0.0,3.34,True,0.0
2017-W24,air_conditioning,1,38.47,38.47,0,777.44,730.61,612.6,2238.65,0.0,-1.01,False,0.0
2017-W25,air_conditioning,3,493.79,164.6,0,597.66,710.64,402.13,2018.93,0.0,-0.15,False,0.0
2017-W26,air_conditioning,2,943.19,471.6,0,539.21,695.52,359.43,1930.24,0.0,0.58,False,0.0
2017-W27,air_conditioning,1,26.0,26.0,0,628.98,695.52,536.49,2020.02,0.0,-0.87,False,0.0
2017-W28,air_conditioning,1,144.03,144.03,0,551.47,727.18,304.62,2005.83,0.0,-0.56,False,0.0
2017-W29,air_conditioning,2,1069.77,534.88,0,497.08,740.95,129.74,1978.98,0.0,0.77,False,0.0
2017-W31,air_conditioning,4,762.05,190.51,0,623.28,741.88,318.91,2107.04,0.0,0.19,False,0.0
2017-W32,air_conditioning,3,442.92,110.73,0,704.11,713.32,627.92,2130.75,0.0,-0.37,False,0.0
2017-W33,air_conditioning,2,1223.26,407.75,0,490.03,406.49,468.36,1303.0,0.0,1.8,False,0.0
2017-W34,air_conditioning,1,3235.68,1617.84,0,638.13,433.41,627.92,1504.94,0.0,5.99,True,0.0
2017-W35,air_conditioning,3,2245.11,561.28,0,980.86,1007.23,852.62,2995.32,0.0,1.26,False,0.0
2017-W36,air_conditioning,4,554.84,138.71,1,1143.6,1101.08,915.91,3345.76,0.0,-0.53,False,0.0
2017-W37,air_conditioning,2,378.3,189.15,0,1209.71,1038.49,915.91,3286.69,0.0,-0.8,False,0.0
2017-W39,air_conditioning,2,967.19,483.59,0,1238.99,1006.97,915.91,3252.94,0.0,-0.27,False,0.0
2017-W40,air_conditioning,2,1947.0,324.5,0,1226.17,1010.09,864.62,3246.34,0.0,0.71,False,0.0
2017-W41,air_conditioning,3,2130.06,532.51,0,1374.29,1019.14,1095.22,3412.58,0.0,0.74,False,0.0
2017-W42,air_conditioning,4,620.56,155.14,0,1585.18,972.37,1585.13,3529.92,0.0,-0.99,False,0.0
2017-W44,air_conditioning,2,222.14,111.07,0,1509.84,1026.27,1457.1,3562.38,0.0,-1.25,False,0.0
2017-W45,air_conditioning,3,680.11,226.7,0,1133.15,838.12,793.88,2809.39,0.0,-0.54,False,0.0
2017-W46,air_conditioning,4,1737.34,289.56,0,937.53,715.12,650.34,2367.76,0.0,1.12,False,0.0
2017-W47,air_conditioning,4,3596.89,719.38,0,1085.34,746.25,823.65,2577.84,0.0,3.37,True,0.0
2017-W48,air_conditioning,4,626.97,156.74,0,1487.66,1096.18,1352.26,3680.02,0.0,-0.79,False,0.0
2017-W49,air_conditioning,2,533.86,266.93,0,1445.13,1125.47,1208.72,3696.07,0.0,-0.81,False,0.0
2018-W01,air_conditioning,2,480.7,240.35,0,1268.49,1146.15,653.54,3560.8,0.0,-0.69,False,0.0
2018-W02,air_conditioning,3,3543.85,708.77,0,1062.32,1117.01,623.76,3296.33,0.0,2.22,True,0.0
2018-W03,air_conditioning,6,1644.86,234.98,0,1427.73,1395.33,653.54,4218.38,0.0,0.16,False,0.0
2018-W04,air_conditioning,8,2003.56,182.14,0,1605.57,1307.63,1162.48,4220.83,0.0,0.3,False,0.0
2018-W05,air_conditioning,4,668.96,133.79,0,1771.0,1256.54,1691.1,4284.08,0.0,-0.88,False,0.0
2018-W06,air_conditioning,1,207.67,207.67,0,1637.46,1315.99,1156.91,4269.44,0.0,-1.09,False,0.0
2018-W07,air_conditioning,4,711.41,177.85,0,1213.8,1127.07,647.96,3467.93,0.0,-0.45,False,0.0
2018-W08,air_conditioning,4,1132.16,283.04,0,1224.36,1121.16,690.18,3466.69,0.0,-0.08,False,0.0
2018-W09,air_conditioning,3,1354.25,338.56,0,1299.15,1087.99,921.79,3475.12,0.0,0.05,False,0.0
2018-W10,air_conditioning,3,508.98,169.66,0,1408.34,1036.74,1243.2,3481.82,0.0,-0.87,False,0.0
2018-W11,air_conditioning,6,1390.61,198.66,0,1028.98,611.9,921.79,2252.79,0.0,0.59,False,0.0
2018-W12,air_conditioning,9,1127.74,125.3,0,997.2,581.18,921.79,2159.55,0.0,0.22,False,0.0
2018-W13,air_conditioning,4,545.32,136.33,0,887.72,426.41,919.58,1740.54,34.91,-0.8,False,0.0
2018-W14,air_conditioning,6,1996.26,285.18,0,872.27,437.56,919.58,1747.39,0.0,2.57,True,0.0
2018-W15,air_conditioning,4,479.25,119.81,0,1095.84,501.71,1129.95,2099.27,92.41,-1.23,False,0.0
2018-W16,air_conditioning,3,627.37,209.12,0,1066.82,532.87,1129.95,2132.57,1.07,-0.82,False,0.0
2018-W17,air_conditioning,7,783.66,111.95,0,1003.72,553.52,877.56,2110.76,0.0,-0.4,False,0.0
2018-W18,air_conditioning,3,435.37,145.12,1,932.4,538.46,705.52,2009.31,0.0,-0.92,False,0.0
2018-W19,air_conditioning,4,1480.08,296.02,0,923.2,547.28,705.52,2017.76,0.0,1.02,False,0.0
2018-W20,air_conditioning,7,1054.77,150.68,0,934.38,558.99,705.52,2052.35,0.0,0.22,False,0.0
2018-W21,air_conditioning,1,119.2,119.2,0,925.26,555.97,705.52,2037.2,0.0,-1.45,False,0.0
2018-W23,air_conditioning,3,11776.29,1308.48,0,872.0,614.86,705.52,2101.72,0.0,17.73,True,0.0
2018-W24,air_conditioning,4,2028.98,507.25,0,2094.5,3933.92,705.52,9962.33,0.0,-0.02,False,0.0
2018-W25,air_conditioning,1,64.62,64.62,0,2288.22,3880.81,919.21,10049.84,0.0,-0.57,False,0.0
2018-W26,air_conditioning,2,199.5,99.75,0,2217.87,3920.12,919.21,10058.11,0.0,-0.51,False,0.0
2018-W27,air_conditioning,2,416.16,208.08,0,2144.85,3955.93,745.07,10056.71,0.0,-0.44,False,0.0
2018-W28,air_conditioning,1,699.98,349.99,0,2142.45,3957.12,735.46,10056.69,0.0,-0.36,False,0.0
2018-W29,air_conditioning,3,647.55,215.85,0,2044.94,3985.29,558.07,10015.51,0.0,-0.35,False,0.0
2018-W30,air_conditioning,5,820.74,136.79,0,1994.04,4002.3,531.86,9998.64,0.0,-0.29,False,0.0
2018-W31,air_conditioning,10,1919.1,174.46,0,2081.73,3962.85,673.76,10007.42,0.0,-0.04,False,0.0
2018-W32,air_conditioning,3,938.36,312.79,0,849.58,739.26,673.76,2328.09,0.0,0.12,False,0.0
2018-W33,air_conditioning,2,2263.28,565.82,0,713.25,572.43,673.76,1858.11,0.0,2.71,True,0.0
2018-W34,air_conditioning,4,725.66,145.13,0,988.08,724.21,760.36,2436.5,0.0,-0.36,False,0.0
2017-W09,art,1,27.59,27.59,0,,,,,,,False,
2017-W11,art,1,47.05,47.05,0,,,,,,,False,
2017-W12,art,3,246.2,49.24,0,,,,,,,False,
2017-W17,art,1,147.17,147.17,0,,,,,,,False,
2017-W18,art,2,119.57,59.78,0,117.0,100.81,97.11,318.63,0.0,0.03,False,0.0
2017-W19,art,1,50.98,50.98,0,117.52,87.31,119.57,292.15,0.0,-0.76,False,0.0
2017-W20,art,2,245.89,122.94,0,106.43,82.69,85.28,271.8,0.0,1.69,False,0.0
2017-W21,art,2,6865.02,3432.51,0,126.35,92.07,119.57,310.48,0.0,73.19,True,0.0
2017-W22,art,1,84.49,84.49,0,968.68,2384.0,133.37,5736.69,0.0,-0.37,False,0.0
2017-W23,art,3,187.47,37.49,0,975.8,2380.88,133.37,5737.55,0.0,-0.33,False,0.0
2017-W24,art,1,97.88,97.88,0,993.35,2373.56,167.32,5740.47,0.0,-0.38,False,0.0
2017-W25,art,1,2078.64,346.44,0,974.81,2380.8,133.37,5736.4,0.0,0.46,False,0.0
2017-W27,art,2,301.11,150.56,0,1216.24,2382.81,153.52,5981.86,0.0,-0.38,False,0.0
2017-W28,art,1,123.79,123.79,0,1238.94,2371.71,216.68,5982.36,0.0,-0.47,False,0.0
2017-W32,art,2,186.53,93.27,0,1248.04,2366.64,216.68,5981.31,0.0,-0.45,False,0.0
2017-W34,art,1,70.53,70.53,0,1240.62,2370.32,187.0,5981.25,0.0,-0.49,False,0.0
2017-W35,art,1,60.0,60.0,0,391.3,685.92,155.16,1763.15,0.0,-0.48,False,0.0
2017-W36,art,1,317.85,317.85,0,388.24,687.54,155.16,1763.32,0.0,-0.1,False,0.0
2017-W38,art,1,66.25,66.25,0,404.54,683.63,155.16,1771.81,0.0,-0.49,False,0.0
2017-W39,art,1,51.75,51.75,0,400.59,685.75,155.16,1772.08,0.0,-0.51,False,0.0
2017-W40,art,2,262.04,131.02,0,147.23,109.58,97.16,366.38,0.0,1.05,False,0.0
2017-W41,art,1,138.41,138.41,0,142.34,102.37,97.16,347.09,0.0,-0.04,False,0.0
2017-W48,art,1,92.78,46.39,0,144.17,102.12,104.47,348.42,0.0,-0.5,False,0.0
2017-W49,art,1,76.79,76.79,0,132.45,101.95,81.66,336.35,0.0,-0.55,False,0.0
2017-W50,art,1,47.19,23.59,0,133.23,101.43,84.78,336.09,0.0,-0.85,False,0.0
2017-W51,art,1,67.78,67.78,0,131.63,102.84,84.78,337.31,0.0,-0.62,False,0.0
2018-W01,art,3,447.07,149.02,0,100.37,71.33,72.28,243.03,0.0,4.86,True,0.0
2018-W02,art,2,276.2,138.1,0,147.98,139.65,84.78,427.28,0.0,0.92,False,0.0
2018-W03,art,9,1305.98,145.11,0,176.03,140.11,115.6,456.24,0.0,8.06,True,0.0
2018-W04,art,2,178.54,89.27,0,306.52,426.04,115.6,1158.6,0.0,-0.3,False,0.0
2018-W05,art,3,605.25,201.75,0,311.54,424.01,135.66,1159.56,0.0,0.69,False,0.0
2018-W06,art,6,1229.29,153.66,0,375.6,424.95,227.37,1225.49,0.0,2.01,True,0.0
2018-W07,art,2,176.76,88.38,1,519.66,498.22,361.64,1516.09,0.0,-0.69,False,0.0
2018-W08,art,3,330.88,110.29,0,535.86,482.52,361.64,1500.9,0.0,-0.42,False,0.0
2018-W09,art,1,132.26,132.26,0,568.75,454.19,388.98,1477.13,0.0,-0.96,False,0.0
2018-W10,art,1,140.38,140.38,0,529.4,479.19,303.54,1487.78,0.0,-0.81,False,0.0
2018-W11,art,1,113.11,113.11,0,512.42,491.69,254.71,1495.79,0.0,-0.81,False,0.0
2018-W12,art,4,346.49,86.62,0,363.31,386.21,177.65,1135.74,0.0,-0.04,False,0.0
2018-W13,art,1,19.39,19.39,0,384.3,379.24,253.82,1142.78,0.0,-0.96,False,0.0
2018-W14,art,5,549.14,109.83,0,311.07,386.96,158.57,1085.0,0.0,0.62,False,0.0
2018-W15,art,4,315.86,78.96,0,226.05,170.68,158.57,567.4,0.0,0.53,False,0.0
2018-W16,art,6,593.13,98.86,0,243.44,172.02,228.12,587.47,0.0,2.03,True,0.0
2018-W17,art,9,993.8,110.42,0,276.22,211.51,228.12,699.25,0.0,3.39,True,0.0
2018-W18,art,9,867.36,96.37,0,383.91,319.51,331.18,1022.92,0.0,1.51,False,0.0
2018-W19,art,12,950.76,73.14,0,474.78,342.87,447.82,1160.53,0.0,1.39,False,0.0
2018-W20,art,11,1289.27,107.44,0,579.49,344.54,571.14,1268.58,0.0,2.06,True,0.0
2018-W21,art,3,191.67,63.89,0,697.34,408.72,730.24,1514.78,0.0,-1.24,False,0.0
2018-W22,art,5,584.79,116.96,0,718.87,370.66,730.24,1460.2,0.0,-0.36,False,0.0
2018-W23,art,2,234.87,117.44,0,723.33,368.54,730.24,1460.41,0.0,-1.33,False,0.0
2018-W24,art,10,1063.91,106.39,0,713.21,382.19,730.24,1477.59,0.0,0.92,False,0.0
2018-W25,art,6,638.45,106.41,0,772.05,397.02,909.06,1566.09,0.0,-0.34,False,0.0
2018-W26,art,8,851.09,106.39,0,727.64,388.45,752.9,1504.54,0.0,0.32,False,0.0
2018-W27,art,5,525.98,105.2,0,725.6,387.66,744.77,1500.91,0.0,-0.51,False,0.0
2018-W28,art,8,957.29,106.37,0,672.5,381.45,611.62,1435.41,0.0,0.75,False,0.0
2018-W29,art,3,389.95,129.98,0,631.01,317.46,611.62,1265.93,0.0,-0.76,False,0.0
2018-W30,art,3,250.51,83.5,0,655.79,284.26,611.62,1224.32,87.26,-1.43,False,0.0
2018-W31,art,9,1110.22,123.36,0,614.01,318.68,582.22,1251.36,0.0,1.56,False,0.0
2018-W32,art,6,669.42,95.63,0,723.42,320.18,744.77,1363.78,83.07,-0.17,False,0.0
2018-W33,art,2,199.08,99.54,0,674.11,289.12,653.93,1252.35,95.88,-1.64,False,0.0
2018-W34,art,1,106.93,106.93,0,619.19,334.96,597.7,1289.11,0.0,-1.53,False,0.0
2018-W35,art,1,106.93,106.93,0,526.17,363.47,457.96,1253.12,0.0,-1.15,False,0.0
2017-W19,arts_and_craftmanship,1,73.07,73.07,0,,,,,,,False,
2017-W28,arts_and_craftmanship,1,145.56,145.56,0,,,,,,,False,
2018-W16,arts_and_craftmanship,1,34.22,34.22,0,,,,,,,False,
2018-W18,arts_and_craftmanship,1,101.05,101.05,0,,,,,,,False,
2018-W29,arts_and_craftmanship,3,332.23,110.74,0,88.48,46.9,87.06,182.27,0.0,5.2,True,0.0
2018-W30,arts_and_craftmanship,6,511.99,73.14,0,137.23,116.33,101.05,369.89,0.0,3.22,True,0.0
2018-W31,arts_and_craftmanship,3,118.08,39.36,0,199.69,185.02,123.3,569.74,0.0,-0.44,False,0.0
2018-W33,arts_and_craftmanship,3,305.24,101.75,0,188.03,171.7,118.08,531.42,0.0,0.68,False,0.0
2018-W34,arts_and_craftmanship,4,704.73,176.18,0,202.68,164.27,131.82,531.23,0.0,3.06,True,0.0
2016-W40,audio,1,147.08,147.08,0,,,,,,,False,
2016-W41,audio,1,35.95,35.95,0,,,,,,,False,
2017-W05,audio,1,44.01,44.01,0,,,,,,,False,
2017-W07,audio,2,105.91,26.48,0,,,,,,,False,
2017-W08,audio,1,36.19,36.19,0,83.24,52.8,74.96,188.85,0.0,-0.89,False,0.0
2017-W09,audio,1,61.74,61.74,0,73.83,50.34,44.01,174.5,0.0,-0.24,False,0.0
2017-W10,audio,7,1058.69,132.34,0,71.81,45.29,52.88,162.4,0.0,21.79,True,0.0
2017-W11,audio,2,270.36,135.18,0,212.8,375.29,61.74,963.37,0.0,0.15,False,0.0
2017-W12,audio,1,45.95,45.95,0,219.99,348.05,83.82,916.08,0.0,-0.5,False,0.0
2017-W13,audio,3,239.41,79.8,0,207.35,352.88,53.84,913.1,0.0,0.09,False,0.0
2017-W14,audio,2,193.25,96.63,0,232.78,346.02,83.82,924.83,0.0,-0.11,False,0.0
2017-W15,audio,1,404.56,202.28,0,251.44,338.33,149.58,928.1,0.0,0.45,False,0.0
2017-W16,audio,2,153.32,51.11,0,288.77,336.45,216.33,961.67,0.0,-0.4,False,0.0
2017-W17,audio,4,757.38,151.48,0,303.41,326.28,216.33,955.97,0.0,1.39,False,0.0
2017-W18,audio,3,626.98,208.99,0,390.36,344.84,254.88,1080.05,0.0,0.69,False,0.0
2017-W19,audio,3,302.86,100.95,0,336.4,244.5,254.88,825.39,0.0,-0.14,False,0.0
2017-W20,audio,6,667.64,111.27,0,340.46,243.51,271.14,827.48,0.0,1.34,False,0.0
2017-W21,audio,3,472.13,157.38,0,418.17,235.15,353.71,888.48,0.0,0.23,False,0.0
2017-W22,audio,2,263.58,131.79,0,447.26,224.01,438.34,895.28,0.0,-0.82,False,0.0
2017-W23,audio,2,369.42,184.71,0,456.06,213.76,438.34,883.58,28.54,-0.41,False,0.0
2017-W24,audio,5,879.14,175.83,0,451.66,215.32,420.78,882.31,21.01,1.99,False,0.0
2017-W25,audio,1,96.88,96.88,0,542.39,224.38,549.56,991.15,93.63,-1.99,False,0.0
2017-W26,audio,3,472.8,157.6,0,459.83,253.59,420.78,967.01,0.0,0.05,False,0.0
2017-W27,audio,1,173.36,173.36,0,440.56,244.78,420.78,930.11,0.0,-1.09,False,0.0
2017-W28,audio,4,548.93,137.23,0,424.37,259.05,420.78,942.47,0.0,0.48,False,0.0
2017-W29,audio,1,115.94,115.94,0,409.53,246.21,420.78,901.94,0.0,-1.19,False,0.0
2017-W30,audio,1,45.0,45.0,0,365.01,264.78,316.5,894.56,0.0,-1.21,False,0.0
2017-W31,audio,2,108.0,36.0,0,337.68,287.08,271.39,911.83,0.0,-0.8,False,0.0
2017-W32,audio,2,194.25,97.13,0,305.01,297.63,144.65,900.27,0.0,-0.37,False,0.0
2017-W33,audio,2,740.82,370.41,0,219.4,186.74,144.65,592.87,0.0,2.79,True,0.0
2017-W34,audio,1,103.37,103.37,0,299.89,253.3,183.8,806.49,0.0,-0.78,False,0.0
2017-W36,audio,3,447.04,111.76,0,253.71,250.94,144.65,755.59,0.0,0.77,False,0.0
2017-W37,audio,2,242.44,121.22,0,287.92,257.0,155.1,801.93,0.0,-0.18,False,0.0
2017-W38,audio,2,226.36,113.18,0,249.61,234.39,155.1,718.38,0.0,-0.1,False,0.0
2017-W39,audio,3,275.95,91.98,0,263.41,228.57,210.3,720.55,0.0,0.05,False,0.0
2017-W40,audio,5,307.07,51.18,0,292.28,210.95,234.4,714.17,0.0,0.07,False,0.0
2017-W41,audio,8,748.32,93.54,0,317.16,197.41,259.2,711.98,0.0,2.18,True,0.0
2017-W42,audio,9,846.22,94.02,0,386.42,240.6,291.51,867.62,0.0,1.91,False,0.0
2017-W43,audio,8,713.45,89.18,1,399.6,264.48,291.51,928.55,0.0,1.19,False,0.0
2017-W44,audio,4,243.23,60.81,0,475.86,254.63,377.06,985.12,0.0,-0.91,False,0.0
2017-W45,audio,5,1173.27,146.66,0,450.38,267.79,291.51,985.95,0.0,2.7,True,0.0
2017-W46,audio,6,1069.7,178.28,0,566.73,353.15,510.26,1273.03,0.0,1.42,False,0.0
2017-W47,audio,13,1690.44,112.7,0,672.15,362.77,730.88,1397.69,0.0,2.81,True,0.0
2017-W48,audio,7,723.69,103.38,0,848.96,470.72,797.27,1790.4,0.0,-0.27,False,0.0
2017-W49,audio,1,65.0,65.0,0,901.04,422.81,797.27,1746.67,55.41,-1.98,False,0.0
