year_week,seller_state,orders_count,weekly_revenue,cancellations
2017-W09,CE,1,177.38,0
2017-W10,SP,370,70113.01,4
2017-W10,PR,49,16176.64,0
2017-W10,MG,84,11189.7,0
2017-W10,RS,18,6509.36,0
2017-W10,RJ,16,5314.04,1
2017-W10,SC,27,5016.36,2
2017-W10,CE,2,939.55,0
2017-W10,GO,2,322.54,0
2017-W10,DF,2,294.32,0
2017-W10,PB,1,189.62,0
2017-W10,BA,1,171.49,0
2017-W10,AM,1,135.25,0
2017-W11,SP,415,84850.27,4
2017-W11,PR,52,16206.18,0
2017-W11,SC,28,8286.89,0
2017-W11,RJ,27,7989.73,0
2017-W11,MG,62,7672.96,1
2017-W11,RS,11,1718.74,0
2017-W11,PE,3,1503.65,0
2017-W11,ES,2,1024.72,0
2017-W11,DF,5,660.32,0
2017-W11,CE,4,446.28,0
2017-W11,GO,3,402.32,0
2017-W11,MS,1,208.81,0
2017-W11,AM,1,139.29,0
2017-W12,SP,412,71272.85,4
2017-W12,MG,74,15204.54,2
2017-W12,SC,40,10685.8,0
2017-W12,PR,36,9358.12,0
2017-W12,RJ,27,5186.0,0
2017-W12,RS,31,4338.36,0
2017-W12,ES,4,2430.71,0
2017-W12,DF,8,1167.8,0
2017-W12,CE,1,637.81,0
2017-W12,PB,2,453.62,0
2017-W12,MS,2,418.66,0
2017-W12,GO,4,325.67,1
2017-W12,BA,1,308.45,0
2017-W13,SP,373,79616.53,2
2017-W13,MG,66,13057.69,1
2017-W13,PR,37,8014.24,0
2017-W13,RJ,22,7448.83,0
2017-W13,SC,29,5425.25,0
2017-W13,RS,18,1628.05,0
2017-W13,BA,3,986.88,0
2017-W13,DF,3,582.52,0
2017-W13,ES,5,569.8,0
2017-W13,GO,3,230.39,0
2017-W13,CE,1,181.98,0
2017-W13,PB,2,174.21,0
2017-W13,PE,1,50.7,0
2017-W14,SP,388,88620.84,0
2017-W14,MG,63,15424.93,0
2017-W14,RJ,35,9461.2,0
2017-W14,SC,31,7294.65,0
2017-W14,PR,33,6218.62,2
2017-W14,RS,18,3899.61,1
2017-W14,BA,6,1947.15,1
2017-W14,ES,3,514.41,0
2017-W14,DF,4,423.1,0
2017-W14,GO,3,350.34,0
2017-W14,CE,1,64.55,0
2017-W15,SP,288,42324.88,3
2017-W15,PR,43,11749.37,0
2017-W15,MG,42,7417.84,0
2017-W15,RJ,19,5837.88,0
2017-W15,SC,28,5473.73,1
2017-W15,ES,5,1020.44,0
2017-W15,RS,7,961.88,0
2017-W15,GO,4,914.66,0
2017-W15,DF,6,802.85,0
2017-W16,SP,374,75150.01,2
2017-W16,PR,54,13069.18,1
2017-W16,MG,52,8621.34,0
2017-W16,RJ,24,8303.91,0
2017-W16,SC,33,7299.18,0
2017-W16,DF,9,2003.75,0
2017-W16,RS,12,1571.65,0
2017-W16,GO,6,810.66,0
2017-W16,ES,2,772.23,0
2017-W16,BA,1,689.38,0
2017-W16,CE,1,26.28,0
2017-W17,SP,449,73819.33,6
2017-W17,SC,39,19898.9,7
2017-W17,MG,79,16093.68,0
2017-W17,PR,49,13585.73,0
2017-W17,RS,29,5968.46,0
2017-W17,RJ,8,3605.23,0
2017-W17,RN,3,2321.05,0
2017-W17,MS,4,731.76,0
2017-W17,ES,4,614.85,0
2017-W17,GO,4,527.07,0
2017-W17,RO,1,355.11,0
2017-W17,DF,2,189.33,0
2017-W17,BA,1,94.18,0
2017-W18,SP,524,84125.54,0
2017-W18,PR,51,14461.09,0
2017-W18,MG,101,13782.7,0
2017-W18,SC,47,11371.74,0
2017-W18,RJ,18,6050.98,0
2017-W18,RS,19,2676.63,0
2017-W18,ES,3,855.6,0
2017-W18,GO,2,661.19,0
2017-W18,DF,7,582.93,0
2017-W18,MS,2,347.62,0
2017-W18,CE,3,338.44,0
2017-W18,PB,2,323.77,0
2017-W18,BA,1,321.38,0
2017-W19,SP,575,123216.98,8
2017-W19,MG,72,22753.03,0
2017-W19,PR,44,10071.23,0
2017-W19,RJ,25,4733.99,0
2017-W19,SC,27,4513.0,0
2017-W19,RS,18,2888.84,0
2017-W19,ES,7,1382.11,0
2017-W19,RN,2,1271.99,0
2017-W19,MS,4,936.76,0
2017-W19,GO,6,526.9,0
2017-W19,DF,6,519.53,0
2017-W19,BA,1,127.14,0
2017-W20,SP,650,122237.3,3
2017-W20,MG,124,21061.69,2
2017-W20,PR,64,11288.85,0
2017-W20,SC,41,10752.1,0
2017-W20,RJ,21,6365.75,0
2017-W20,RS,21,2925.72,0
2017-W20,ES,6,1283.86,0
2017-W20,RO,1,1233.42,0
2017-W20,BA,2,695.56,0
2017-W20,GO,4,466.06,0
2017-W20,DF,4,195.88,0
2017-W20,MS,1,107.1,0
2017-W20,PE,1,50.05,0
2017-W21,SP,540,109946.4,12
2017-W21,MG,84,14328.3,0
2017-W21,RJ,29,9089.12,0
2017-W21,SC,45,8652.7,0
2017-W21,PR,50,7795.68,0
2017-W21,GO,4,7042.61,0
2017-W21,RS,13,1294.01,0
2017-W21,DF,6,889.69,0
2017-W21,ES,6,793.65,0
2017-W21,BA,1,455.31,0
2017-W21,PE,1,171.57,0
2017-W21,MS,1,159.3,0
2017-W22,SP,581,103896.76,5
2017-W22,PR,53,17609.84,0
2017-W22,MG,83,10454.14,0
2017-W22,RJ,33,10354.13,0
2017-W22,RS,23,4935.49,1
2017-W22,SC,35,4606.07,0
2017-W22,BA,5,1584.49,0
2017-W22,RO,1,1250.42,0
2017-W22,ES,6,1209.57,0
2017-W22,DF,5,825.74,0
2017-W22,GO,4,586.59,0
2017-W22,SE,1,128.08,0
2017-W22,MT,1,108.76,0
2017-W23,SP,586,104359.77,0
2017-W23,MG,87,13114.32,0
2017-W23,PR,57,11535.7,0
2017-W23,RJ,33,7696.43,1
2017-W23,SC,33,6180.24,0
2017-W23,RS,25,5411.06,0
2017-W23,BA,4,1179.27,0
2017-W23,ES,7,956.86,0
2017-W23,GO,4,799.75,0
2017-W23,DF,3,371.27,0
2017-W23,PE,1,180.1,0
2017-W24,SP,542,104776.34,5
2017-W24,MG,78,16518.48,0
2017-W24,PR,47,9273.85,0
2017-W24,SC,27,5789.13,0
2017-W24,BA,4,2590.98,0
2017-W24,RJ,15,2388.71,1
2017-W24,RS,13,1801.37,1
2017-W24,GO,8,1013.32,0
2017-W24,DF,10,893.44,0
2017-W24,ES,3,429.92,0
2017-W24,PE,3,201.9,0
2017-W24,CE,1,171.79,0
2017-W25,SP,481,91392.25,2
2017-W25,PR,43,10361.1,0
2017-W25,MG,63,8176.12,0
2017-W25,SC,33,6962.35,0
2017-W25,RJ,17,5668.1,1
2017-W25,RS,15,2224.81,1
2017-W25,ES,3,394.59,0
2017-W25,DF,3,344.78,0
2017-W25,GO,2,237.81,0
2017-W26,SP,525,90635.67,1
2017-W26,PR,43,9874.16,0
2017-W26,MG,65,8885.42,0
2017-W26,RS,15,6120.83,0
2017-W26,RJ,21,5012.83,0
2017-W26,SC,34,4267.32,0
2017-W26,BA,2,1954.79,0
2017-W26,PB,1,1003.42,0
2017-W26,GO,6,906.41,0
2017-W26,ES,5,652.21,0
2017-W26,RN,2,392.61,0
2017-W26,DF,2,151.12,0
2017-W26,PE,1,84.05,0
2017-W27,SP,595,103785.3,5
2017-W27,MG,66,12493.97,0
2017-W27,PR,54,10578.97,0
2017-W27,RS,23,5920.65,0
2017-W27,SC,38,5474.44,0
2017-W27,RJ,21,3245.92,1
2017-W27,ES,6,1722.29,0
2017-W27,GO,6,1210.9,0
2017-W27,DF,9,1136.52,0
2017-W27,BA,1,635.91,0
2017-W27,PE,1,90.81,0
2017-W28,SP,706,125331.2,5
2017-W28,MG,86,17836.45,0
2017-W28,PR,59,9191.08,0
2017-W28,SC,38,8331.35,0
2017-W28,RS,23,5319.59,0
2017-W28,RJ,19,2132.87,0
2017-W28,ES,9,1754.27,0
2017-W28,DF,4,728.22,0
2017-W28,GO,5,311.66,1
2017-W28,RO,1,193.07,0
2017-W28,BA,1,48.62,0
2017-W29,SP,710,134068.5,2
2017-W29,PR,60,18507.55,0
2017-W29,MG,72,15643.3,0
2017-W29,SC,53,10470.11,0
2017-W29,RJ,29,5302.48,0
2017-W29,DF,6,2700.02,0
2017-W29,RS,14,1948.08,0
2017-W29,PB,1,1150.54,0
2017-W29,GO,3,556.99,0
2017-W29,ES,3,419.9,0
2017-W29,BA,1,297.39,0
2017-W29,CE,2,249.22,0
2017-W29,PE,1,149.6,0
2017-W29,MT,1,70.82,0
2017-W30,SP,662,113533.42,30
2017-W30,MG,89,14331.39,1
2017-W30,PR,58,10605.28,0
2017-W30,SC,51,10135.6,2
2017-W30,RS,22,10065.56,0
2017-W30,RJ,18,5351.77,0
2017-W30,DF,10,1530.98,0
2017-W30,PB,1,1351.94,0
2017-W30,GO,3,835.84,0
2017-W30,ES,3,778.71,0
2017-W30,BA,3,700.61,0
2017-W30,PE,3,266.02,0
2017-W30,CE,1,208.74,0
2017-W31,SP,721,121732.41,24
2017-W31,MG,101,17238.73,1
2017-W31,PR,57,12271.39,0
2017-W31,SC,42,10508.86,2
2017-W31,RS,22,6784.08,0
2017-W31,RJ,17,2134.09,1
2017-W31,DF,9,1370.19,0
2017-W31,GO,5,806.5,0
2017-W31,RO,2,495.16,0
2017-W31,ES,2,279.03,0
2017-W31,BA,2,217.25,0
2017-W31,CE,1,171.79,0
2017-W31,MT,1,128.08,0
2017-W32,SP,683,135157.06,17
2017-W32,MG,86,23049.96,3
2017-W32,PR,59,14031.66,1
2017-W32,RS,19,5833.87,0
2017-W32,SC,39,5513.23,1
2017-W32,RJ,24,4034.24,0
2017-W32,GO,8,796.98,0
2017-W32,DF,6,720.79,0
2017-W32,ES,2,319.31,0
2017-W32,BA,1,101.35,0
2017-W32,CE,1,29.42,0
2017-W33,SP,769,123842.7,20
2017-W33,MG,88,16291.89,3
2017-W33,PR,59,15019.01,0
2017-W33,SC,48,10003.29,1
2017-W33,RJ,26,7927.91,2
2017-W33,RS,21,2986.61,0
2017-W33,RN,5,1720.64,0
2017-W33,DF,13,1535.74,2
2017-W33,ES,3,1081.99,0
2017-W33,CE,2,721.75,0
2017-W33,GO,5,619.28,0
2017-W34,SP,636,150238.34,13
2017-W34,MG,86,18440.63,0
2017-W34,PR,69,15234.54,1
2017-W34,SC,46,9741.91,4
2017-W34,RJ,22,6731.75,0
2017-W34,RS,20,3640.42,0
2017-W34,GO,4,572.88,0
2017-W34,ES,4,568.15,0
2017-W34,DF,4,449.33,0
2017-W34,BA,2,412.51,0
2017-W34,CE,1,316.31,0
2017-W34,RN,1,268.98,0
2017-W34,PE,1,73.37,0
2017-W34,MT,1,65.09,0
2017-W35,SP,690,141844.06,14
2017-W35,BA,56,58121.03,0
2017-W35,MG,93,14434.79,0
2017-W35,SC,47,8953.16,0
2017-W35,PR,52,7672.36,0
2017-W35,RJ,32,7419.95,0
2017-W35,RS,14,2339.18,0
2017-W35,DF,11,1905.0,0
2017-W35,ES,4,1855.72,0
2017-W35,GO,7,1312.45,0
2017-W35,PB,1,1299.28,0
2017-W35,RO,1,656.55,0
2017-W35,MT,2,176.31,0
2017-W36,SP,627,113678.82,3
2017-W36,BA,35,27005.49,0
2017-W36,MG,83,16721.31,0
2017-W36,PR,54,13258.36,0
2017-W36,RJ,27,5142.47,0
2017-W36,SC,33,4952.4,0
2017-W36,RS,17,2411.8,0
2017-W36,ES,5,1236.74,0
2017-W36,DF,9,1133.05,0
2017-W36,GO,4,819.17,0
2017-W36,PE,2,702.6,0
2017-W36,MT,1,60.53,0
2017-W37,SP,826,148429.62,4
2017-W37,MG,129,39664.33,1
2017-W37,BA,18,12509.38,0
2017-W37,PR,61,10793.04,1
2017-W37,RS,26,7154.9,0
2017-W37,SC,43,7124.69,1
2017-W37,DF,13,6133.01,0
2017-W37,RJ,35,6009.48,0
2017-W37,GO,7,781.02,0
2017-W37,ES,1,165.98,0
2017-W37,PA,1,134.75,0
2017-W37,CE,1,105.39,0
2017-W38,SP,706,130925.96,1
2017-W38,MG,77,13457.64,1
2017-W38,PR,59,12953.37,0
2017-W38,GO,14,11178.42,0
2017-W38,RJ,41,9708.46,0
2017-W38,SC,45,6938.94,0
2017-W38,RS,19,3931.39,0
2017-W38,BA,6,2860.84,0
2017-W38,DF,10,2668.16,1
2017-W38,PA,1,367.2,0
2017-W38,PE,1,332.71,0
2017-W38,RN,1,280.27,0
2017-W38,ES,1,140.08,0
2017-W38,CE,1,37.24,0
2017-W39,SP,658,241553.38,3
2017-W39,PR,69,21173.44,0
2017-W39,MG,85,13583.16,1
2017-W39,RJ,41,10392.28,0
2017-W39,BA,11,9621.61,0
2017-W39,SC,47,7911.54,0
2017-W39,RS,19,5009.16,0
2017-W39,DF,15,2128.96,0
2017-W39,CE,2,506.47,0
2017-W39,GO,3,445.68,0
2017-W39,MT,2,363.1,0
2017-W39,ES,2,264.16,0
2017-W39,RN,1,118.38,0
2017-W40,SP,709,156329.24,1
2017-W40,MG,91,30322.35,3
2017-W40,PR,60,14501.3,2
2017-W40,BA,17,11998.25,0
2017-W40,RJ,35,7279.8,0
2017-W40,SC,30,5856.85,0
2017-W40,RS,22,4278.94,0
2017-W40,DF,11,3842.3,0
2017-W40,MT,10,1855.34,0
2017-W40,ES,8,1598.27,0
2017-W40,GO,3,311.4,0
2017-W41,SP,755,147170.87,6
2017-W41,MG,101,19629.02,1
2017-W41,PR,63,16530.28,0
2017-W41,RJ,45,10143.49,0
2017-W41,BA,12,7627.57,0
2017-W41,RS,25,6374.99,0
2017-W41,SC,27,5073.55,0
2017-W41,DF,13,1829.39,0
2017-W41,MT,7,1279.83,0
2017-W41,MS,4,1184.36,0
2017-W41,GO,5,585.74,2
2017-W41,ES,3,427.17,0
2017-W42,SP,807,160782.4,4
2017-W42,MG,91,21697.89,0
2017-W42,PR,76,19702.25,0
2017-W42,RJ,44,14101.86,0
2017-W42,BA,19,9816.92,0
2017-W42,SC,39,7572.12,0
2017-W42,RS,25,7416.17,0
2017-W42,DF,18,5297.8,0
2017-W42,ES,8,2005.71,0
2017-W42,GO,5,813.84,0
2017-W42,MT,4,654.12,0
2017-W43,SP,702,142068.4,2
2017-W43,MG,77,16854.72,0
2017-W43,PR,76,13533.05,1
2017-W43,BA,15,12619.91,0
2017-W43,SC,27,9767.72,0
2017-W43,RJ,34,9649.8,0
2017-W43,RS,17,7979.34,0
2017-W43,DF,13,4190.23,1
2017-W43,GO,5,846.4,0
2017-W43,ES,4,485.09,0
2017-W43,PE,1,262.09,0
2017-W43,MT,1,181.55,0
2017-W44,SP,644,139699.9,3
2017-W44,MG,77,31426.12,0
2017-W44,BA,20,21596.53,0
2017-W44,RJ,38,11530.47,0
2017-W44,PR,62,11514.44,0
2017-W44,SC,40,7894.36,0
2017-W44,RS,17,5075.86,0
2017-W44,DF,18,2416.91,0
2017-W44,RN,1,1308.76,0
2017-W44,MT,4,1117.98,0
2017-W44,ES,3,782.35,0
2017-W44,GO,4,314.24,0
2017-W44,MS,2,253.48,0
2017-W44,SE,1,177.75,0
2017-W44,PE,1,64.05,1
2017-W45,SP,891,158008.84,10
2017-W45,PR,90,23188.11,0
2017-W45,MG,91,15809.44,2
2017-W45,RJ,44,12457.04,1
2017-W45,SC,39,8829.31,0
2017-W45,RS,24,6643.86,0
2017-W45,BA,6,3875.81,0
2017-W45,PB,2,3089.52,0
2017-W45,ES,7,3051.37,0
2017-W45,DF,8,668.18,0
2017-W45,GO,4,579.81,0
2017-W45,MT,3,305.95,0
2017-W46,SP,900,167666.65,12
2017-W46,RJ,88,22140.46,0
2017-W46,PR,95,21387.36,2
2017-W46,MG,117,20344.91,1
2017-W46,SC,48,17135.21,0
2017-W46,RS,25,7562.24,0
2017-W46,ES,7,1931.33,0
2017-W46,DF,8,1094.34,0
2017-W46,SE,1,842.7,0
2017-W46,MT,4,715.88,0
2017-W46,PA,1,357.13,0
2017-W46,RN,1,307.27,0
2017-W46,BA,1,257.56,0
2017-W46,GO,2,122.51,0
2017-W46,RO,1,96.38,0
2017-W47,SP,2127,396914.55,6
2017-W47,PR,222,72749.33,0
2017-W47,MG,249,51391.32,1
2017-W47,RS,54,50328.82,0
2017-W47,RJ,155,43819.16,0
2017-W47,SC,106,25498.18,0
2017-W47,BA,21,8484.65,0
2017-W47,DF,29,3022.25,0
2017-W47,MT,9,1420.52,0
2017-W47,PE,4,1345.2,0
2017-W47,ES,7,676.14,0
2017-W47,PB,1,528.25,0
2017-W47,RO,1,403.8,0
2017-W47,GO,3,299.12,0
2017-W47,MS,2,267.18,0
2017-W47,RN,1,259.91,0
2017-W47,CE,1,259.59,0
2017-W47,PA,2,209.54,0
2017-W47,SE,1,199.49,0
2017-W48,SP,1491,272826.17,1
2017-W48,PR,144,30903.48,0
2017-W48,RJ,114,28343.3,0
2017-W48,MG,163,27064.02,0
2017-W48,SC,64,16843.57,0
2017-W48,BA,25,9078.72,0
2017-W48,RS,37,7540.99,0
2017-W48,DF,18,3510.41,0
2017-W48,GO,15,1873.18,0
2017-W48,PE,3,792.75,0
2017-W48,ES,7,717.09,0
2017-W48,MT,2,637.5,0
2017-W48,RO,1,403.8,0
2017-W48,SE,1,211.12,0
2017-W48,RN,2,84.54,0
2017-W49,SP,1153,192873.19,0
2017-W49,PR,143,29376.59,0
2017-W49,MG,129,25727.09,0
2017-W49,RJ,107,25372.14,1
2017-W49,SC,56,15743.74,0
2017-W49,BA,18,10608.36,0
2017-W49,RS,34,8487.68,0
2017-W49,DF,13,2049.81,0
2017-W49,ES,7,1713.76,0
2017-W49,PB,1,1444.62,0
2017-W49,GO,2,380.04,0
2017-W49,RN,2,303.46,0
2017-W49,MT,2,190.85,0
2017-W49,PA,1,54.1,0
2017-W50,SP,995,178969.45,2
2017-W50,PR,99,23809.38,0
2017-W50,SC,55,16083.34,0
2017-W50,MG,104,15198.98,1
2017-W50,RJ,82,13367.44,0
2017-W50,BA,8,12668.56,0
2017-W50,RS,34,7724.85,0
2017-W50,MT,7,1105.56,0
2017-W50,GO,5,920.9,0
2017-W50,DF,8,700.78,0
2017-W50,ES,4,485.29,0
2017-W50,PE,2,210.74,0
2017-W50,RO,1,105.94,0
2017-W50,RN,1,42.27,0
2017-W51,SP,724,124695.53,3
2017-W51,PR,74,15387.28,0
2017-W51,SC,31,12354.22,0
2017-W51,MG,72,9735.76,0
2017-W51,RJ,33,4900.8,0
2017-W51,RS,15,3587.99,0
2017-W51,RN,5,2257.51,0
2017-W51,BA,4,2217.25,0
2017-W51,DF,8,976.83,0
2017-W51,PB,1,739.72,0
2017-W51,PE,2,595.18,0
2017-W51,GO,4,508.87,0
2017-W51,MT,1,82.59,0
2017-W52,SP,637,94375.92,0
2017-W52,MG,77,12539.28,0
2017-W52,PR,50,9907.57,0
2017-W52,RJ,40,7425.95,1
2017-W52,BA,7,4112.28,0
2017-W52,RS,19,3541.65,0
2017-W52,SC,20,2859.23,0
2017-W52,DF,11,1920.72,0
2017-W52,CE,1,719.96,0
2017-W52,ES,5,497.32,0
2017-W52,GO,4,389.05,0
2017-W52,PE,1,144.56,0
2017-W52,RN,2,84.54,0
2018-W01,SP,1008,171194.17,0
2018-W01,PR,119,27344.36,0
2018-W01,MG,86,23789.42,1
2018-W01,RJ,71,15825.23,0
2018-W01,SC,40,8541.35,0
2018-W01,RS,25,7239.56,0
2018-W01,BA,6,3486.01,0
2018-W01,DF,10,1696.32,0
2018-W01,GO,5,998.11,0
2018-W01,MS,2,727.28,0
2018-W01,PI,1,553.46,0
2018-W01,ES,3,514.04,0
2018-W01,RN,5,286.46,0
2018-W01,MT,2,261.25,0
2018-W01,PA,1,236.29,0
2018-W01,RO,1,90.61,0
2018-W01,CE,1,86.43,0
2018-W01,PE,1,58.56,0
2018-W02,SP,1297,225409.42,0
2018-W02,PR,153,47135.97,0
2018-W02,RJ,66,29117.68,0
2018-W02,MG,122,22436.2,0
2018-W02,SC,54,17294.37,0
2018-W02,RS,25,10396.7,0
2018-W02,BA,8,5260.85,0
2018-W02,ES,7,3935.71,0
2018-W02,DF,23,3476.75,0
2018-W02,GO,8,1891.84,0
2018-W02,MT,6,806.22,0
2018-W02,PE,8,761.98,0
2018-W02,SE,1,397.13,0
2018-W02,MS,1,234.16,0
2018-W02,RN,2,211.35,0
2018-W02,RO,1,165.54,0
2018-W02,CE,2,162.24,0
2018-W03,SP,1248,217282.66,1
2018-W03,PR,161,32618.01,0
2018-W03,MG,133,25936.87,1
2018-W03,RJ,68,13422.34,0
2018-W03,SC,60,11070.95,0
2018-W03,RS,23,7352.96,0
2018-W03,PE,15,3205.47,0
2018-W03,DF,18,3025.66,0
2018-W03,GO,7,1378.01,0
2018-W03,BA,2,971.68,0
2018-W03,CE,2,713.72,0
2018-W03,MT,3,682.27,0
2018-W03,MS,1,298.43,0
2018-W03,ES,2,234.54,0
2018-W03,MA,2,171.69,0
2018-W03,RN,3,126.81,0
2018-W04,SP,1148,207333.62,11
2018-W04,PR,127,24399.47,3
2018-W04,RJ,74,23660.99,0
2018-W04,MG,130,20550.85,4
2018-W04,SC,55,11360.91,0
2018-W04,RS,14,5211.32,0
2018-W04,DF,12,3869.26,0
2018-W04,GO,6,3131.92,0
2018-W04,BA,4,1462.13,0
2018-W04,PE,7,1263.83,0
2018-W04,MT,4,982.19,0
2018-W04,ES,4,673.59,0
2018-W04,MA,6,507.17,0
2018-W04,PI,1,319.94,0
2018-W04,RN,1,169.08,0
2018-W05,SP,1149,219118.55,19
2018-W05,PR,171,40713.69,3
2018-W05,MG,105,23339.53,3
2018-W05,RJ,63,19169.81,2
2018-W05,SC,47,8212.6,2
2018-W05,RS,16,4123.63,0
2018-W05,GO,7,2116.26,0
2018-W05,PE,10,1640.16,0
2018-W05,DF,13,1361.76,0
2018-W05,BA,3,1143.21,0
2018-W05,MT,5,1083.45,0
2018-W05,ES,7,646.43,0
2018-W05,PI,1,182.84,0
2018-W05,MA,3,178.88,0
2018-W05,MS,1,86.93,0
2018-W05,PA,1,34.1,0
2018-W06,SP,1084,184745.71,15
2018-W06,PR,206,48262.4,1
2018-W06,MG,92,21796.09,0
2018-W06,RJ,60,12399.8,0
2018-W06,SC,58,10293.76,2
2018-W06,PE,19,6543.44,0
2018-W06,RS,14,3879.23,0
2018-W06,BA,5,1547.28,0
2018-W06,DF,12,1388.43,0
2018-W06,GO,8,873.55,0
2018-W06,MA,5,630.59,0
2018-W06,MT,4,550.5,0
2018-W06,ES,4,302.77,0
2018-W07,SP,1114,172021.68,15
2018-W07,PR,211,47529.89,0
2018-W07,MG,114,27610.71,1
2018-W07,RJ,82,24820.9,1
2018-W07,SC,44,8582.48,0
2018-W07,RS,16,3470.87,0
2018-W07,DF,21,3053.32,0
2018-W07,PE,9,2224.3,0
2018-W07,CE,3,977.07,0
2018-W07,GO,8,974.24,0
2018-W07,MA,3,544.47,0
2018-W07,PI,2,429.81,0
2018-W07,ES,2,177.79,0
2018-W07,MS,1,173.82,0
2018-W07,MT,1,103.78,0
2018-W08,SP,1193,237169.69,16
2018-W08,PR,219,43422.97,2
2018-W08,MG,136,30781.51,4
2018-W08,SC,70,16244.28,0
2018-W08,RJ,64,10785.93,1
2018-W08,RS,18,5662.83,0
2018-W08,PE,25,5203.01,0
2018-W08,DF,10,1630.64,0
2018-W08,PB,1,1394.77,0
2018-W08,GO,7,842.51,0
2018-W08,PI,2,513.25,0
2018-W08,BA,3,331.57,0
2018-W08,MT,2,217.71,0
2018-W08,CE,3,204.39,0
2018-W08,RN,1,110.32,0
2018-W08,MA,1,76.68,0
2018-W09,SP,1320,258444.62,10
2018-W09,PR,227,49793.46,0
2018-W09,MG,130,20960.7,1
2018-W09,SC,66,20049.84,0
2018-W09,RJ,78,15544.93,1
2018-W09,RS,23,5423.03,0
2018-W09,PE,18,3470.58,0
